u,v,kind,ox,oy,x_rel,y_rel
1,2,proper,3.0,1.0,contains,overlap
1,8,proper,1.0,2.0,contains,overlap
1,9,proper,5.0,3.0,contains,overlap
2,3,proper,2.0,1.0,overlap,contains
2,4,proper,1.0,4.0,overlap,overlap
3,8,proper,1.0,1.0,contains,inside
3,10,proper,2.0,1.0,contains,inside
3,11,proper,2.0,1.0,overlap,inside
4,5,proper,2.0,1.0,overlap,contains
4,6,proper,1.0,1.0,overlap,overlap
5,8,proper,1.0,1.0,contains,inside
6,7,proper,6.0,1.0,overlap,contains
6,10,proper,1.0,2.0,overlap,overlap
7,11,proper,4.0,1.0,contains,inside
9,10,proper,2.0,2.0,contains,overlap
9,11,proper,1.0,1.0,overlap,overlap
