gx,gy,rect_ids
0,17,1
0,18,1
0,19,1
0,20,1
0,21,1
1,7,2
1,8,2
1,9,2
1,10,2
1,11,2
1,12,2
1,13,2
1,14,2
1,15,2
1,16,2
1,17,1;2
1,18,1;2
1,19,1
1,20,1
1,21,1
2,7,2
2,8,2
2,9,2
2,10,2
2,11,2
2,12,2;3
2,13,2;3
2,14,2
2,15,2
2,16,2
2,17,1;2
2,18,1;2
2,19,1
2,20,1
2,21,1
3,5,4
3,6,4
3,7,2;4
3,8,2;4
3,9,2;4
3,10,2;4
3,11,2;4
3,12,2;3
3,13,2;3
3,14,2
3,15,2
3,16,2
3,17,1;2
3,18,1;2
3,19,1
3,20,1
3,21,1
4,5,4
4,6,4
4,7,2;4
4,8,2;4
4,9,2;4
4,10,2;4
4,11,2;4
4,12,2;3
4,13,2;3
4,14,2
4,15,2
4,16,2
4,17,1;2
4,18,1;2
4,19,1
4,20,1
4,21,1
5,5,4
5,6,4
5,7,4
5,8,4
5,9,4;5
5,10,4;5
5,11,4
5,12,3
5,13,3
5,17,1
5,18,1
5,19,1
5,20,1
5,21,1
6,1,6
6,2,6
6,3,6
6,4,6
6,5,4;6
6,6,4;6
6,7,4
6,8,4
6,9,4;5
6,10,4;5
6,11,4
6,12,3
6,13,3
6,17,1
6,18,1
6,19,1
6,20,1
6,21,1
7,1,6
7,2,6
7,3,6
7,4,6
7,5,4;6
7,6,4;6
7,7,4
7,8,4
7,9,4;5
7,10,4;5
7,11,4
7,12,3
7,13,3
7,17,1
7,18,1
7,19,1
7,20,1
7,21,1
8,1,6
8,2,6;7
8,3,6;7
8,4,6
8,5,6
8,6,6
8,9,5
8,10,5
8,12,3
8,13,3
8,17,1
8,18,1
8,19,1
8,20,1
8,21,1
9,1,6
9,2,6;7
9,3,6;7
9,4,6
9,5,6
9,6,6
9,8,8
9,9,5;8
9,10,5;8
9,11,8
9,12,3;8
9,13,3;8
9,14,8
9,15,8
9,16,8
9,17,1;8
9,18,1;8
9,19,1;8
9,20,1
9,21,1
10,1,6
10,2,6;7
10,3,6;7
10,4,6
10,5,6
10,6,6
10,8,8
10,9,5;8
10,10,5;8
10,11,8
10,12,3;8
10,13,3;8
10,14,8
10,15,8
10,16,8
10,17,1;8
10,18,1;8
10,19,1;8
10,20,1
10,21,1
11,1,6
11,2,6;7
11,3,6;7
11,4,6
11,5,6
11,6,6
11,9,5
11,10,5
11,12,3
11,13,3
11,17,1
11,18,1
11,19,1
11,20,1
11,21,1
12,1,6
12,2,6;7
12,3,6;7
12,4,6
12,5,6
12,6,6
12,12,3
12,13,3
12,14,9
12,15,9
12,16,9
12,17,1;9
12,18,1;9
12,19,1;9
12,20,1;9
12,21,1
13,1,6
13,2,6;7
13,3,6;7
13,4,6;10
13,5,6;10
13,6,6;10
13,7,10
13,8,10
13,9,10
13,10,10
13,11,10
13,12,3;10
13,13,3;10
13,14,9;10
13,15,9;10
13,16,9;10
13,17,1;9
13,18,1;9
13,19,1;9
13,20,1;9
13,21,1
14,1,6
14,2,6;7
14,3,6;7
14,4,6;10
14,5,6;10
14,6,6;10
14,7,10
14,8,10
14,9,10
14,10,10
14,11,10
14,12,3;10
14,13,3;10
14,14,9;10
14,15,9;10
14,16,9;10
14,17,1;9
14,18,1;9
14,19,1;9
14,20,1;9
14,21,1
15,2,7
15,3,7
15,4,10
15,5,10
15,6,10
15,7,10
15,8,10
15,9,10
15,10,10
15,11,10
15,12,3;10
15,13,3;10
15,14,9;10
15,15,9;10
15,16,9;10
15,17,1;9
15,18,1;9
15,19,1;9
15,20,1;9
15,21,1
16,0,11
16,1,11
16,2,7;11
16,3,7;11
16,4,11
16,5,11
16,6,11
16,7,11
16,8,11
16,9,11
16,10,11
16,11,11
16,12,3;11
16,13,3;11
16,14,9;11
16,15,9;11
16,16,9
16,17,1;9
16,18,1;9
16,19,1;9
16,20,1;9
16,21,1
17,0,11
17,1,11
17,2,7;11
17,3,7;11
17,4,11
17,5,11
17,6,11
17,7,11
17,8,11
17,9,11
17,10,11
17,11,11
17,12,3;11
17,13,3;11
17,14,9;11
17,15,9;11
17,16,9
17,17,1;9
17,18,1;9
17,19,1;9
17,20,1;9
17,21,1
18,0,11
18,1,11
18,2,7;11
18,3,7;11
18,4,11
18,5,11
18,6,11
18,7,11
18,8,11
18,9,11
18,10,11
18,11,11
18,12,3;11
18,13,3;11
18,14,11
18,15,11
18,17,1
18,18,1
18,19,1
18,20,1
18,21,1
19,0,11
19,1,11
19,2,7;11
19,3,7;11
19,4,11
19,5,11
19,6,11
19,7,11
19,8,11
19,9,11
19,10,11
19,11,11
19,12,11
19,13,11
19,14,11
19,15,11
19,17,1
19,18,1
19,19,1
19,20,1
19,21,1
20,0,11
20,1,11
20,2,7;11
20,3,7;11
20,4,11
20,5,11
20,6,11
20,7,11
20,8,11
20,9,11
20,10,11
20,11,11
20,12,11
20,13,11
20,14,11
20,15,11
21,2,7
21,3,7
