gx,gy,rect_ids
0,12,1
0,13,1
0,14,1
1,2,2
1,3,2
1,4,2
1,12,1
1,13,1
1,14,1
2,2,2
2,3,2
2,4,2
2,12,1
2,13,1
2,14,1
2,17,3
2,18,3
3,0,4
3,1,4
3,2,2;4
3,3,2;4
3,4,2;4
3,5,4
3,6,4
3,7,4
3,8,4
3,9,4
3,10,4
3,11,4
3,12,1;4
3,13,1;4
3,14,1;4
3,15,4
3,16,4
3,17,3;4
3,18,3;4
3,19,4
3,20,4
3,21,4
4,0,4
4,1,4
4,2,2;4
4,3,2;4
4,4,2;4
4,5,4
4,6,4
4,7,4
4,8,4
4,9,4
4,10,4
4,11,4
4,12,1;4
4,13,1;4
4,14,1;4
4,15,4
4,16,4
4,17,3;4
4,18,3;4
4,19,4
4,20,4
4,21,4
5,2,2
5,3,2
5,4,2
5,8,5
5,9,5
5,10,5
5,11,5
5,12,1
5,13,1
5,14,1
5,17,3
5,18,3
6,2,2
6,3,2;6
6,4,2;6
6,5,6
6,6,6
6,7,6
6,8,5
6,9,5
6,10,5
6,11,5
6,12,1
6,13,1
6,14,1
6,17,3
6,18,3
7,2,2
7,3,2;6
7,4,2;6
7,5,6;7
7,6,6;7
7,7,6;7
7,8,5;7
7,9,5;7
7,10,5;7
7,11,5;7
7,12,1;7
7,13,1;7
7,14,1;7
7,15,7
7,16,7
7,17,3;7
7,18,3;7
7,19,7
7,20,7
8,2,2
8,3,2;6
8,4,2;6
8,5,6;7
8,6,6;7
8,7,6;7
8,8,5;7
8,9,5;7
8,10,5;7
8,11,5;7
8,12,1;7
8,13,1;7
8,14,1;7
8,15,7
8,16,7
8,17,3;7
8,18,3;7
8,19,7
8,20,7
9,2,2
9,3,2;6
9,4,2;6
9,5,6
9,6,6;8
9,7,6;8
9,8,5;8
9,9,5;8
9,10,5;8
9,11,5;8
9,12,1;8
9,13,1;8
9,14,1;8
9,15,8
9,16,8
9,17,3
9,18,3
10,2,2
10,3,2;6
10,4,2;6
10,5,6
10,6,6;8
10,7,6;8
10,8,5;8
10,9,5;8
10,10,5;8
10,11,5;8
10,12,1;8
10,13,1;8
10,14,1;8
10,15,8
10,16,8
10,17,3
10,18,3
11,3,6
11,4,6
11,5,6
11,6,6;8
11,7,6;8
11,8,5;8
11,9,5;8
11,10,5;8
11,11,5;8
11,12,1;8
11,13,1;8
11,14,1;8
11,15,8;9
11,16,8;9
11,17,3;9
11,18,3;9
11,19,9
12,3,6
12,4,6
12,5,6
12,6,6;8
12,7,6;8
12,8,5;8
12,9,5;8
12,10,5;8
12,11,5;8
12,12,1;8
12,13,1;8
12,14,1;8
12,15,8;9
12,16,8;9
12,17,3;9
12,18,3;9
12,19,9
13,3,6
13,4,6
13,5,6
13,6,6
13,7,6
13,8,5
13,9,5;10
13,10,5;10
13,11,5
13,12,1
13,13,1
13,14,1
13,15,9
13,16,9
13,17,3;9
13,18,3;9
13,19,9
14,3,6
14,4,6
14,5,6
14,6,6
14,7,6
14,8,5
14,9,5;10
14,10,5;10
14,11,5
14,12,1
14,13,1
14,14,1
14,15,9
14,16,9
14,17,3;9
14,18,3;9
14,19,9
15,1,11
15,2,11
15,3,6;11
15,4,6;11
15,5,6;11
15,6,6;11
15,7,6;11
15,8,11
15,9,10;11
15,10,10;11
15,11,11
15,12,1;11
15,13,1;11
15,14,1
15,15,9
15,16,9
15,17,3;9
15,18,3;9
15,19,9
16,1,11
16,2,11
16,3,6;11
16,4,6;11
16,5,6;11
16,6,6;11
16,7,6;11
16,8,11
16,9,10;11
16,10,10;11
16,11,11
16,12,1;11
16,13,1;11
16,14,1
16,15,9
16,16,9
16,17,3;9
16,18,3;9
16,19,9
17,3,6
17,4,6
17,5,6
17,6,6
17,7,6
17,9,10
17,10,10
17,12,1
17,13,1
17,14,1
17,15,9
17,16,9
17,17,3;9
17,18,3;9
17,19,9
18,3,6
18,4,6
18,5,6
18,6,6
18,7,6
18,9,10
18,10,10
18,12,1
18,13,1
18,14,1
18,15,9
18,16,9
18,17,9
18,18,9
18,19,9
19,3,6
19,4,6
19,5,6
19,6,6
19,7,6
19,12,1
19,13,1
19,14,1
19,15,9
19,16,9
19,17,9
19,18,9
19,19,9
20,3,6
20,4,6
20,5,6
20,6,6
20,7,6
20,12,1
20,13,1
20,14,1
21,3,6
21,4,6
21,5,6
21,6,6
21,7,6
