u,v,kind,ox,oy,x_rel,y_rel
1,2,proper,3.0,1.0,contains,overlap
1,8,proper,1.0,2.0,contains,overlap
1,9,proper,6.0,3.0,overlap,overlap
2,3,proper,2.0,5.0,overlap,overlap
2,4,proper,1.0,1.0,overlap,contains
3,5,proper,2.0,1.0,overlap,contains
3,6,proper,1.0,2.0,overlap,overlap
4,8,proper,1.0,1.0,contains,inside
4,10,proper,2.0,1.0,contains,inside
4,11,proper,1.0,1.0,overlap,inside
5,8,proper,1.0,1.0,contains,inside
6,7,proper,6.0,1.0,overlap,contains
6,10,proper,1.0,3.0,overlap,overlap
7,11,proper,3.0,1.0,contains,inside
9,10,proper,2.0,2.0,contains,overlap
9,11,proper,3.0,1.0,contains,overlap
