u,v,kind,ox,oy,x_rel,y_rel
1,3,proper,1.0,2.0,contains,inside
1,5,proper,8.0,1.0,overlap,overlap
2,3,proper,1.0,2.0,contains,inside
2,6,proper,2.0,2.0,contains,inside
2,8,proper,2.0,2.0,contains,inside
2,11,proper,1.0,1.0,contains,overlap
4,6,proper,2.0,3.0,contains,inside
4,8,proper,2.0,3.0,contains,inside
4,10,proper,2.0,1.0,overlap,contains
5,6,proper,2.0,2.0,contains,overlap
5,8,proper,2.0,1.0,contains,overlap
5,11,proper,1.0,4.0,contains,inside
6,7,proper,1.0,1.0,overlap,contains
7,9,proper,9.0,1.0,contains,inside
8,9,proper,1.0,1.0,overlap,overlap
10,11,proper,1.0,1.0,contains,inside
