u,v,kind,ox,oy,x_rel,y_rel
1,6,proper,1.0,4.0,contains,inside
1,8,proper,7.0,1.0,overlap,overlap
1,9,proper,2.0,1.0,contains,overlap
1,10,proper,1.0,2.0,contains,overlap
2,3,proper,9.0,3.0,contains,overlap
2,10,proper,1.0,2.0,contains,overlap
2,11,proper,1.0,1.0,contains,overlap
3,9,proper,1.0,1.0,overlap,overlap
4,6,proper,1.0,1.0,contains,inside
4,7,proper,2.0,1.0,overlap,inside
5,6,proper,1.0,1.0,contains,overlap
5,9,proper,2.0,2.0,contains,inside
5,10,proper,1.0,2.0,contains,inside
5,11,proper,1.0,2.0,contains,inside
7,9,proper,2.0,3.0,contains,inside
7,10,proper,1.0,3.0,contains,inside
8,11,proper,1.0,2.0,contains,inside
