gx,gy,rect_ids
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
1,3,1
1,4,1
1,5,1
1,6,1
1,7,1
1,17,2
1,18,2
1,19,2
1,20,2
1,21,2
2,3,1
2,4,1
2,5,1
2,6,1
2,7,1
2,15,3
2,16,3
2,17,2;3
2,18,2;3
2,19,2;3
2,20,2;3
2,21,2
3,3,1
3,4,1
3,5,1
3,6,1
3,7,1
3,9,4
3,10,4
3,15,3
3,16,3
3,17,2;3
3,18,2;3
3,19,2;3
3,20,2;3
3,21,2
4,3,1
4,4,1
4,5,1
4,6,1
4,7,1
4,9,4
4,10,4
4,12,5
4,13,5
4,14,5
4,15,3
4,16,3
4,17,2;3
4,18,2;3
4,19,2;3
4,20,2;3
4,21,2
5,1,6
5,2,6
5,3,1;6
5,4,1;6
5,5,1;6
5,6,1;6
5,7,1;6
5,8,6
5,9,4;6
5,10,4;6
5,11,6
5,12,5;6
5,13,5;6
5,14,5
5,15,3
5,16,3
5,17,2;3
5,18,2;3
5,19,2;3
5,20,2;3
5,21,2
6,1,6
6,2,6
6,3,1;6
6,4,1;6
6,5,1;6
6,6,1;6
6,7,1;6
6,8,6
6,9,4;6
6,10,4;6
6,11,6
6,12,5;6
6,13,5;6
6,14,5
6,15,3
6,16,3
6,17,2;3
6,18,2;3
6,19,2;3
6,20,2;3
6,21,2
7,3,1
7,4,1
7,5,1
7,6,1
7,7,1
7,8,7
7,9,4;7
7,10,4;7
7,11,7
7,12,5
7,13,5
7,14,5
7,15,3
7,16,3
7,17,2;3
7,18,2;3
7,19,2;3
7,20,2;3
7,21,2
8,2,8
8,3,1;8
8,4,1;8
8,5,1
8,6,1
8,7,1
8,8,7
8,9,4;7
8,10,4;7
8,11,7
8,12,5
8,13,5
8,14,5
8,15,3
8,16,3
8,17,2;3
8,18,2;3
8,19,2;3
8,20,2;3
8,21,2
9,2,8
9,3,1;8
9,4,1;8
9,5,1
9,6,1
9,7,1
9,8,7
9,9,4;7
9,10,4;7
9,11,7
9,12,5
9,13,5
9,14,5
9,15,3
9,16,3
9,17,2;3
9,18,2;3
9,19,2;3
9,20,2;3
9,21,2
10,2,8
10,3,1;8
10,4,1;8
10,5,1
10,6,1;9
10,7,1;9
10,8,7;9
10,9,7;9
10,10,7;9
10,11,7;9
10,12,5;9
10,13,5;9
10,14,5;9
10,15,3;9
10,16,3;9
10,17,2;3
10,18,2;3
10,19,2;3
10,20,2;3
10,21,2
11,2,8
11,3,1;8
11,4,1;8
11,5,1
11,6,1;9
11,7,1;9
11,8,7;9
11,9,7;9
11,10,7;9
11,11,7;9
11,12,5;9
11,13,5;9
11,14,5;9
11,15,3;9
11,16,3;9
11,17,2;3
11,18,2;3
11,19,2;3
11,20,2;3
11,21,2
12,2,8
12,3,1;8
12,4,1;8
12,5,1
12,6,1;9
12,7,1;9
12,8,7;9
12,9,7;9
12,10,7;9
12,11,7;9
12,12,5;9
12,13,5;9
12,14,5;9
12,15,9
12,16,9
12,17,2
12,18,2
12,19,2
12,20,2
12,21,2
13,2,8
13,3,1;8
13,4,1;8
13,5,1;10
13,6,1;10
13,7,1;10
13,8,7;10
13,9,7;10
13,10,7;10
13,11,7;10
13,12,5;10
13,13,5;10
13,14,5;10
13,15,10
13,16,10
13,17,2;10
13,18,2;10
13,19,2;10
13,20,2
13,21,2
14,2,8
14,3,1;8
14,4,1;8
14,5,1;10
14,6,1;10
14,7,1;10
14,8,7;10
14,9,7;10
14,10,7;10
14,11,7;10
14,12,5;10
14,13,5;10
14,14,5;10
14,15,10
14,16,10
14,17,2;10
14,18,2;10
14,19,2;10
14,20,2
14,21,2
15,2,8
15,3,1;8
15,4,1;8
15,5,1
15,6,1
15,7,1
15,8,7
15,9,7
15,10,7
15,11,7
15,12,5
15,13,5
15,14,5
15,17,2
15,18,2
15,19,2
15,20,2
15,21,2
16,2,8
16,3,8
16,4,8
16,8,7
16,9,7
16,10,7
16,11,7
16,12,5
16,13,5
16,14,5
16,17,2
16,18,2
16,19,2
16,20,2
16,21,2
17,0,11
17,1,11
17,2,8;11
17,3,8;11
17,4,8;11
17,5,11
17,6,11
17,7,11
17,8,11
17,9,11
17,10,11
17,11,11
17,12,5;11
17,13,5;11
17,14,5;11
17,15,11
17,16,11
17,17,2;11
17,18,2;11
17,19,2
17,20,2
17,21,2
18,0,11
18,1,11
18,2,8;11
18,3,8;11
18,4,8;11
18,5,11
18,6,11
18,7,11
18,8,11
18,9,11
18,10,11
18,11,11
18,12,5;11
18,13,5;11
18,14,5;11
18,15,11
18,16,11
18,17,2;11
18,18,2;11
18,19,2
18,20,2
18,21,2
19,2,8
19,3,8
19,4,8
19,12,5
19,13,5
19,14,5
19,17,2
19,18,2
19,19,2
19,20,2
19,21,2
20,2,8
20,3,8
20,4,8
20,17,2
20,18,2
20,19,2
20,20,2
20,21,2
21,17,2
21,18,2
21,19,2
21,20,2
21,21,2
