u,v,kind,ox,oy,x_rel,y_rel
1,3,proper,2.0,1.0,contains,inside
1,7,proper,1.0,1.0,contains,inside
1,9,proper,8.0,1.0,contains,inside
2,3,proper,2.0,2.0,contains,inside
2,6,proper,4.0,1.0,overlap,overlap
3,4,proper,1.0,2.0,overlap,contains
4,7,proper,1.0,2.0,contains,inside
4,8,proper,3.0,2.0,contains,inside
4,11,proper,1.0,1.0,contains,overlap
5,7,proper,1.0,3.0,contains,inside
5,8,proper,3.0,3.0,contains,inside
5,10,proper,1.0,1.0,overlap,contains
6,7,proper,1.0,2.0,contains,overlap
6,8,proper,3.0,1.0,contains,overlap
6,11,proper,1.0,4.0,contains,inside
8,9,proper,1.0,1.0,overlap,overlap
10,11,proper,1.0,1.0,contains,inside
