u,v,kind,ox,oy,x_rel,y_rel
1,4,proper,1.0,1.0,contains,inside
1,7,proper,1.0,1.0,contains,inside
1,9,proper,7.0,1.0,contains,inside
2,4,proper,1.0,2.0,contains,inside
2,6,proper,7.0,1.0,overlap,overlap
3,4,proper,1.0,2.0,contains,inside
3,7,proper,1.0,2.0,contains,inside
3,8,proper,2.0,2.0,contains,inside
3,11,proper,1.0,1.0,contains,overlap
5,7,proper,1.0,3.0,contains,inside
5,8,proper,2.0,3.0,contains,inside
5,10,proper,2.0,1.0,overlap,contains
6,7,proper,1.0,2.0,contains,overlap
6,8,proper,2.0,1.0,contains,overlap
6,11,proper,1.0,4.0,contains,inside
8,9,proper,1.0,1.0,overlap,overlap
10,11,proper,1.0,1.0,contains,inside
