u,v,kind,ox,oy,x_rel,y_rel
1,4,proper,1.0,1.0,contains,overlap
1,6,proper,2.0,2.0,contains,overlap
1,9,proper,9.0,3.0,contains,overlap
2,4,proper,1.0,2.0,contains,inside
2,7,proper,6.0,1.0,overlap,overlap
3,4,proper,1.0,2.0,contains,inside
3,6,proper,2.0,2.0,contains,inside
3,8,proper,2.0,2.0,contains,inside
3,11,proper,1.0,1.0,contains,overlap
5,6,proper,2.0,3.0,contains,inside
5,8,proper,2.0,3.0,contains,inside
5,10,proper,2.0,1.0,overlap,contains
6,7,proper,1.0,2.0,overlap,overlap
7,8,proper,2.0,1.0,contains,overlap
7,11,proper,1.0,4.0,contains,inside
8,9,proper,1.0,1.0,overlap,overlap
10,11,proper,1.0,1.0,contains,inside
