u,v,kind,ox,oy,x_rel,y_rel
1,2,proper,12.0,7.0,contains,overlap
1,6,proper,32.0,5.0,overlap,contains
1,13,proper,5.0,9.0,contains,overlap
1,14,proper,23.0,1.0,overlap,contains
1,15,proper,11.0,12.0,contains,contains
1,18,proper,4.0,5.0,contains,overlap
1,22,proper,9.0,18.0,overlap,inside
2,4,proper,10.0,1.0,overlap,contains
2,10,proper,4.0,8.0,overlap,contains
2,13,proper,1.0,8.0,overlap,overlap
4,18,proper,4.0,1.0,contains,inside
4,23,proper,3.0,1.0,contains,inside
6,15,proper,11.0,5.0,contains,inside
6,22,proper,11.0,5.0,contains,inside
6,24,proper,2.0,3.0,overlap,overlap
10,18,proper,4.0,8.0,contains,inside
10,21,proper,2.0,2.0,overlap,overlap
10,22,proper,1.0,4.0,overlap,overlap
13,14,proper,3.0,1.0,overlap,contains
13,15,proper,2.0,5.0,overlap,overlap
14,18,proper,4.0,1.0,contains,inside
14,22,proper,11.0,1.0,contains,inside
14,24,proper,4.0,1.0,overlap,inside
15,18,proper,4.0,1.0,contains,overlap
21,23,proper,3.0,3.0,contains,inside
21,24,proper,3.0,3.0,overlap,inside
22,23,proper,3.0,2.0,contains,overlap
