u,v,kind,ox,oy,x_rel,y_rel
1,2,proper,30.0,28.0,contains,contains
1,3,proper,12.0,25.0,contains,contains
1,4,proper,14.0,12.0,contains,overlap
1,5,proper,31.0,1.0,contains,contains
1,6,proper,32.0,31.0,overlap,contains
1,7,proper,31.0,5.0,overlap,contains
1,8,proper,25.0,15.0,contains,contains
1,9,proper,28.0,21.0,contains,overlap
1,10,proper,28.0,11.0,overlap,contains
1,11,proper,19.0,8.0,contains,contains
1,12,proper,26.0,3.0,overlap,contains
1,13,proper,11.0,17.0,contains,contains
1,14,proper,6.0,9.0,contains,contains
1,15,proper,22.0,1.0,overlap,contains
1,16,proper,10.0,12.0,contains,contains
1,17,proper,4.0,30.0,contains,contains
1,18,proper,14.0,33.0,contains,overlap
1,19,proper,3.0,29.0,contains,contains
1,20,proper,12.0,25.0,overlap,contains
1,21,proper,10.0,3.0,overlap,contains
1,22,proper,9.0,23.0,overlap,overlap
1,23,proper,3.0,17.0,contains,contains
2,3,proper,12.0,24.0,contains,overlap
2,4,proper,14.0,5.0,contains,overlap
2,5,proper,27.0,1.0,overlap,contains
2,6,proper,26.0,25.0,overlap,overlap
2,7,proper,25.0,1.0,overlap,overlap
2,8,proper,24.0,11.0,overlap,overlap
2,9,proper,23.0,13.0,overlap,overlap
2,10,proper,22.0,10.0,overlap,overlap
2,11,proper,19.0,8.0,contains,contains
2,12,proper,20.0,3.0,overlap,contains
2,13,proper,11.0,15.0,contains,overlap
2,14,proper,6.0,9.0,contains,contains
2,15,proper,16.0,1.0,overlap,contains
2,16,proper,10.0,7.0,contains,overlap
2,17,proper,4.0,27.0,contains,overlap
2,18,proper,11.0,26.0,overlap,overlap
2,19,proper,3.0,22.0,contains,overlap
2,20,proper,6.0,19.0,overlap,overlap
2,21,proper,4.0,3.0,overlap,contains
2,22,proper,3.0,16.0,overlap,overlap
2,23,proper,1.0,14.0,overlap,overlap
3,4,proper,11.0,1.0,overlap,overlap
3,5,proper,10.0,1.0,overlap,contains
3,6,proper,9.0,25.0,overlap,inside
3,8,proper,7.0,12.0,overlap,overlap
3,9,proper,6.0,14.0,overlap,overlap
3,10,proper,5.0,6.0,overlap,overlap
3,11,proper,4.0,8.0,overlap,contains
3,12,proper,3.0,3.0,overlap,contains
3,13,proper,2.0,16.0,overlap,overlap
3,14,proper,1.0,7.0,overlap,overlap
4,6,proper,12.0,2.0,overlap,overlap
