u,v,kind,ox,oy,x_rel,y_rel
4,7,proper,10.0,5.0,contains,inside
4,15,proper,11.0,5.0,contains,inside
4,22,proper,11.0,5.0,contains,inside
4,24,proper,2.0,3.0,overlap,overlap
6,8,proper,6.0,1.0,contains,inside
6,11,proper,25.0,1.0,overlap,inside
6,18,proper,4.0,1.0,contains,inside
6,23,proper,3.0,1.0,contains,inside
7,8,proper,6.0,1.0,contains,overlap
7,13,proper,4.0,3.0,overlap,overlap
7,15,proper,1.0,10.0,overlap,overlap
8,10,proper,4.0,8.0,overlap,contains
8,11,proper,3.0,3.0,overlap,contains
8,13,proper,1.0,7.0,overlap,overlap
10,18,proper,4.0,8.0,contains,inside
10,21,proper,2.0,2.0,overlap,overlap
10,22,proper,1.0,4.0,overlap,overlap
11,18,proper,4.0,3.0,contains,inside
11,23,proper,3.0,3.0,contains,inside
11,24,proper,6.0,3.0,contains,inside
13,14,proper,4.0,1.0,overlap,contains
13,15,proper,3.0,5.0,overlap,overlap
14,18,proper,4.0,1.0,contains,inside
14,22,proper,11.0,1.0,contains,inside
14,24,proper,4.0,1.0,overlap,inside
15,18,proper,4.0,1.0,contains,overlap
21,23,proper,3.0,3.0,contains,inside
21,24,proper,3.0,3.0,overlap,inside
22,23,proper,3.0,2.0,contains,overlap
