u,v,kind,ox,oy,x_rel,y_rel
1,3,proper,10.0,1.0,overlap,contains
1,9,proper,4.0,8.0,overlap,contains
1,12,proper,1.0,7.0,overlap,overlap
3,17,proper,4.0,1.0,contains,inside
3,22,proper,3.0,1.0,contains,inside
5,14,proper,11.0,3.0,contains,overlap
5,21,proper,11.0,4.0,contains,inside
5,24,proper,2.0,4.0,overlap,inside
9,17,proper,4.0,8.0,contains,inside
9,20,proper,2.0,2.0,overlap,overlap
9,21,proper,1.0,4.0,overlap,overlap
12,13,proper,4.0,1.0,overlap,contains
12,14,proper,3.0,5.0,overlap,overlap
13,17,proper,4.0,1.0,contains,inside
13,21,proper,11.0,1.0,contains,inside
13,24,proper,4.0,1.0,overlap,inside
14,17,proper,4.0,1.0,contains,overlap
20,22,proper,3.0,3.0,contains,inside
20,24,proper,3.0,3.0,overlap,inside
21,22,proper,3.0,2.0,contains,overlap
