u,v,kind,ox,oy,x_rel,y_rel
1,2,proper,11.0,25.0,contains,contains
1,3,proper,13.0,12.0,contains,overlap
1,4,proper,31.0,1.0,contains,contains
1,5,proper,32.0,31.0,overlap,contains
1,6,proper,31.0,5.0,overlap,contains
1,7,proper,25.0,15.0,contains,contains
1,8,proper,28.0,21.0,contains,overlap
1,9,proper,20.0,8.0,contains,contains
1,10,proper,27.0,3.0,overlap,contains
1,11,proper,12.0,17.0,contains,contains
1,12,proper,6.0,9.0,contains,contains
1,13,proper,23.0,1.0,overlap,contains
1,14,proper,11.0,12.0,contains,contains
1,15,proper,5.0,30.0,contains,contains
1,16,proper,15.0,33.0,contains,overlap
1,17,proper,4.0,29.0,contains,contains
1,18,proper,10.0,28.0,contains,contains
1,19,proper,12.0,25.0,overlap,contains
1,20,proper,10.0,3.0,overlap,contains
1,21,proper,9.0,23.0,overlap,overlap
1,22,proper,3.0,17.0,contains,contains
2,3,proper,10.0,1.0,overlap,overlap
2,4,proper,9.0,1.0,overlap,contains
2,5,proper,8.0,25.0,overlap,inside
2,7,proper,6.0,12.0,overlap,overlap
2,8,proper,5.0,14.0,overlap,overlap
2,9,proper,4.0,8.0,overlap,contains
2,10,proper,3.0,3.0,overlap,contains
2,11,proper,2.0,16.0,overlap,overlap
2,12,proper,1.0,7.0,overlap,overlap
3,5,proper,11.0,2.0,overlap,overlap
3,6,proper,10.0,5.0,overlap,contains
3,12,proper,4.0,3.0,overlap,overlap
3,14,proper,1.0,10.0,overlap,overlap
4,5,proper,30.0,1.0,overlap,inside
4,7,proper,25.0,1.0,contains,inside
4,8,proper,27.0,1.0,overlap,inside
4,10,proper,25.0,1.0,overlap,inside
4,11,proper,12.0,1.0,contains,inside
4,15,proper,5.0,1.0,contains,inside
4,16,proper,15.0,1.0,contains,inside
4,17,proper,4.0,1.0,contains,inside
4,18,proper,10.0,1.0,contains,inside
4,22,proper,3.0,1.0,contains,inside
5,7,proper,25.0,15.0,contains,contains
5,8,proper,28.0,19.0,contains,overlap
5,9,proper,20.0,8.0,contains,contains
5,10,proper,36.0,3.0,overlap,contains
5,11,proper,12.0,17.0,contains,contains
5,12,proper,6.0,8.0,contains,overlap
5,13,proper,31.0,1.0,contains,contains
5,14,proper,11.0,4.0,contains,overlap
5,15,proper,5.0,24.0,contains,overlap
5,16,proper,15.0,23.0,contains,overlap
5,17,proper,4.0,28.0,contains,overlap
5,18,proper,10.0,25.0,contains,overlap
5,19,proper,17.0,16.0,contains,overlap
5,20,proper,17.0,3.0,contains,contains
5,21,proper,11.0,13.0,contains,overlap
5,22,proper,3.0,17.0,contains,contains
5,23,proper,3.0,7.0,contains,overlap
5,24,proper,6.0,30.0,overlap,overlap
6,14,proper,11.0,5.0,contains,inside
6,15,proper,5.0,4.0,contains,overlap
6,16,proper,15.0,5.0,contains,inside
6,18,proper,10.0,1.0,contains,overlap
6,19,proper,17.0,5.0,contains,inside
6,21,proper,11.0,5.0,contains,inside
6,23,proper,3.0,2.0,contains,overlap
6,24,proper,3.0,3.0,overlap,overlap
7,8,proper,24.0,15.0,overlap,inside
7,9,proper,20.0,3.0,contains,overlap
7,10,proper,22.0,3.0,overlap,contains
7,11,proper,12.0,13.0,contains,overlap
7,15,proper,5.0,10.0,contains,overlap
7,16,proper,13.0,9.0,overlap,overlap
7,17,proper,4.0,15.0,contains,inside
7,18,proper,10.0,11.0,contains,overlap
7,19,proper,7.0,2.0,overlap,overlap
7,20,proper,5.0,3.0,overlap,contains
7,22,proper,2.0,14.0,overlap,overlap
8,9,proper,20.0,5.0,contains,overlap
8,10,proper,26.0,3.0,overlap,contains
8,11,proper,12.0,15.0,contains,overlap
8,15,proper,5.0,12.0,contains,overlap
8,16,proper,15.0,11.0,contains,overlap
8,17,proper,4.0,20.0,contains,overlap
8,18,proper,10.0,13.0,contains,overlap
8,19,proper,11.0,4.0,overlap,overlap
8,20,proper,9.0,3.0,overlap,contains
8,21,proper,8.0,1.0,overlap,overlap
8,22,proper,3.0,16.0,contains,overlap
9,11,proper,12.0,7.0,contains,overlap
9,15,proper,5.0,8.0,contains,inside
9,16,proper,10.0,8.0,overlap,inside
9,17,proper,4.0,8.0,contains,inside
9,18,proper,8.0,8.0,overlap,inside
9,19,proper,4.0,7.0,overlap,overlap
9,20,proper,2.0,2.0,overlap,overlap
9,21,proper,1.0,4.0,overlap,overlap
10,11,proper,12.0,3.0,contains,inside
