gx,gy,rect_ids
0,36,1
0,37,1
0,38,1
0,39,1
0,40,1
0,41,1
1,5,2
1,6,2
1,7,2
1,8,2
1,9,2
1,10,2
1,11,2
1,12,2
1,13,2
1,14,2
1,15,2
1,16,2
1,17,2
1,18,2
1,19,2
1,20,2
1,36,1
1,37,1
1,38,1
1,39,1
1,40,1
1,41,1
2,1,3
2,2,3
2,3,3
2,4,3
2,5,2;3
2,6,2;3
2,7,2;3
2,8,2;3
2,9,2;3
2,10,2;3
2,11,2;3
2,12,2;3
2,13,2;3
2,14,2;3
2,15,2;3
2,16,2;3
2,17,2;3
2,18,2;3
2,19,2;3
2,20,2;3
2,21,3
2,22,3
2,23,3
2,24,3
2,25,3
2,26,3
2,27,3
2,28,3
2,29,3
2,30,3
2,31,3
2,32,3
2,33,3
2,34,3
2,35,3
2,36,1;3
2,37,1;3
2,38,1;3
2,39,1;3
2,40,1;3
2,41,1;3
2,42,3
2,43,3
2,44,3
3,1,3
3,2,3
3,3,3
3,4,3
3,5,2;3
3,6,2;3
3,7,2;3
3,8,2;3;4
3,9,2;3;4
3,10,2;3;4
3,11,2;3;4
3,12,2;3;4
3,13,2;3;4
3,14,2;3;4
3,15,2;3;4
3,16,2;3;4
3,17,2;3;4
3,18,2;3;4
3,19,2;3;4
3,20,2;3;4
3,21,3;4
3,22,3;4
3,23,3;4
3,24,3;4
3,25,3;4
3,26,3;4
3,27,3;4
3,28,3;4
3,29,3;4
3,30,3;4
3,31,3;4
3,32,3;4
3,33,3;4
3,34,3
3,35,3
3,36,1;3
3,37,1;3
3,38,1;3
3,39,1;3
3,40,1;3
3,41,1;3
3,42,3
3,43,3
3,44,3
4,1,3
4,2,3
4,3,3
4,4,3
4,5,2;3
4,6,2;3
4,7,2;3
4,8,2;3;4
4,9,2;3;4
4,10,2;3;4
4,11,2;3;4
4,12,2;3;4
4,13,2;3;4
4,14,2;3;4
4,15,2;3;4
4,16,2;3;4
4,17,2;3;4
4,18,2;3;4
4,19,2;3;4
4,20,2;3;4
4,21,3;4
4,22,3;4
4,23,3;4
4,24,3;4
4,25,3;4
4,26,3;4
4,27,3;4
4,28,3;4
4,29,3;4
4,30,3;4
4,31,3;4
4,32,3;4;5
4,33,3;4;5
4,34,3;5
4,35,3;5
4,36,1;3;5
4,37,1;3;5
4,38,1;3;5
4,39,1;3;5
4,40,1;3;5
4,41,1;3;5
4,42,3;5
4,43,3;5
4,44,3;5
4,45,5
4,46,5
5,1,3
5,2,3
5,3,3
5,4,3
5,5,2;3
5,6,2;3
5,7,2;3
5,8,2;3;4
5,9,2;3;4
5,10,2;3;4
5,11,2;3;4
5,12,2;3;4
5,13,2;3;4;6
5,14,2;3;4;6
5,15,2;3;4
5,16,2;3;4
5,17,2;3;4
5,18,2;3;4
