u,v,kind,ox,oy,x_rel,y_rel
1,2,proper,11.0,1.0,overlap,overlap
1,3,proper,10.0,1.0,overlap,contains
1,4,proper,9.0,25.0,overlap,inside
1,6,proper,7.0,12.0,overlap,overlap
1,7,proper,6.0,14.0,overlap,overlap
1,8,proper,5.0,6.0,overlap,overlap
1,9,proper,4.0,8.0,overlap,contains
1,10,proper,3.0,3.0,overlap,contains
1,11,proper,2.0,16.0,overlap,overlap
1,12,proper,1.0,7.0,overlap,overlap
2,4,proper,12.0,2.0,overlap,overlap
2,5,proper,11.0,4.0,overlap,contains
2,8,proper,8.0,6.0,overlap,overlap
2,12,proper,4.0,3.0,overlap,overlap
2,14,proper,1.0,7.0,overlap,overlap
3,4,proper,31.0,1.0,overlap,inside
3,6,proper,26.0,1.0,contains,inside
3,7,proper,28.0,1.0,overlap,inside
3,10,proper,25.0,1.0,overlap,inside
3,11,proper,12.0,1.0,contains,inside
3,15,proper,5.0,1.0,contains,inside
3,16,proper,15.0,1.0,contains,inside
3,17,proper,4.0,1.0,contains,inside
3,18,proper,10.0,1.0,contains,inside
3,22,proper,3.0,1.0,contains,inside
4,6,proper,26.0,15.0,contains,contains
4,7,proper,29.0,19.0,contains,overlap
4,8,proper,30.0,7.0,contains,overlap
4,9,proper,20.0,8.0,contains,contains
4,10,proper,36.0,3.0,overlap,contains
4,11,proper,12.0,17.0,contains,contains
4,12,proper,6.0,8.0,contains,overlap
4,13,proper,30.0,1.0,contains,contains
4,14,proper,11.0,4.0,contains,overlap
4,15,proper,5.0,24.0,contains,overlap
4,16,proper,15.0,23.0,contains,overlap
4,17,proper,4.0,28.0,contains,overlap
4,18,proper,10.0,25.0,contains,overlap
4,19,proper,16.0,16.0,contains,overlap
4,20,proper,16.0,3.0,contains,contains
4,21,proper,11.0,13.0,contains,overlap
4,22,proper,3.0,17.0,contains,contains
4,23,proper,8.0,31.0,contains,inside
4,24,proper,6.0,30.0,overlap,overlap
5,8,proper,30.0,2.0,contains,overlap
5,14,proper,11.0,3.0,contains,overlap
5,15,proper,5.0,4.0,contains,inside
5,16,proper,15.0,4.0,contains,inside
5,18,proper,10.0,1.0,contains,overlap
5,19,proper,16.0,4.0,contains,inside
5,21,proper,11.0,4.0,contains,inside
5,23,proper,5.0,4.0,overlap,inside
5,24,proper,2.0,4.0,overlap,inside
6,7,proper,25.0,15.0,overlap,inside
6,9,proper,20.0,3.0,contains,overlap
6,10,proper,22.0,3.0,overlap,contains
6,11,proper,12.0,13.0,contains,overlap
6,15,proper,5.0,10.0,contains,overlap
6,16,proper,13.0,9.0,overlap,overlap
6,17,proper,4.0,15.0,contains,inside
6,18,proper,10.0,11.0,contains,overlap
6,19,proper,7.0,2.0,overlap,overlap
6,20,proper,5.0,3.0,overlap,contains
6,22,proper,2.0,14.0,overlap,overlap
7,9,proper,20.0,5.0,contains,overlap
7,10,proper,26.0,3.0,overlap,contains
7,11,proper,12.0,15.0,contains,overlap
7,15,proper,5.0,12.0,contains,overlap
7,16,proper,15.0,11.0,contains,overlap
7,17,proper,4.0,20.0,contains,overlap
7,18,proper,10.0,13.0,contains,overlap
7,19,proper,11.0,4.0,overlap,overlap
7,20,proper,9.0,3.0,overlap,contains
7,21,proper,8.0,1.0,overlap,overlap
7,22,proper,3.0,16.0,contains,overlap
8,12,proper,6.0,8.0,contains,overlap
