u,v,kind,ox,oy,x_rel,y_rel
2,4,proper,9.0,1.0,overlap,contains
2,9,proper,4.0,8.0,overlap,contains
2,12,proper,1.0,7.0,overlap,overlap
4,17,proper,4.0,1.0,contains,inside
4,22,proper,3.0,1.0,contains,inside
6,14,proper,11.0,5.0,contains,inside
6,21,proper,11.0,5.0,contains,inside
6,23,proper,3.0,2.0,contains,overlap
6,24,proper,3.0,3.0,overlap,overlap
9,17,proper,4.0,8.0,contains,inside
9,20,proper,2.0,2.0,overlap,overlap
9,21,proper,1.0,4.0,overlap,overlap
12,13,proper,4.0,1.0,overlap,contains
12,14,proper,3.0,5.0,overlap,overlap
13,17,proper,4.0,1.0,contains,inside
13,21,proper,11.0,1.0,contains,inside
13,23,proper,3.0,1.0,contains,inside
13,24,proper,5.0,1.0,overlap,inside
14,17,proper,4.0,1.0,contains,overlap
20,22,proper,3.0,3.0,contains,inside
20,24,proper,4.0,3.0,overlap,inside
21,22,proper,3.0,2.0,contains,overlap
21,23,proper,1.0,11.0,overlap,contains
23,24,proper,1.0,11.0,overlap,inside
