u,v,kind,ox,oy,x_rel,y_rel
2,5,proper,12.0,5.0,overlap,contains
2,11,proper,3.0,1.0,contains,overlap
2,13,proper,4.0,3.0,overlap,overlap
2,15,proper,1.0,10.0,overlap,overlap
3,10,proper,26.0,1.0,overlap,inside
3,11,proper,3.0,1.0,contains,inside
3,18,proper,4.0,1.0,contains,inside
3,23,proper,3.0,1.0,contains,inside
5,15,proper,11.0,5.0,contains,inside
5,22,proper,11.0,5.0,contains,inside
5,24,proper,2.0,3.0,overlap,overlap
9,11,proper,3.0,8.0,contains,inside
9,18,proper,4.0,8.0,contains,inside
9,21,proper,2.0,2.0,overlap,overlap
9,22,proper,1.0,4.0,overlap,overlap
10,11,proper,3.0,3.0,contains,inside
10,18,proper,4.0,3.0,contains,inside
10,23,proper,3.0,3.0,contains,inside
10,24,proper,6.0,3.0,contains,inside
11,13,proper,1.0,7.0,overlap,overlap
13,14,proper,3.0,1.0,overlap,contains
13,15,proper,2.0,5.0,overlap,overlap
14,18,proper,4.0,1.0,contains,inside
14,22,proper,11.0,1.0,contains,inside
14,24,proper,4.0,1.0,overlap,inside
15,18,proper,4.0,1.0,contains,overlap
21,23,proper,3.0,3.0,contains,inside
21,24,proper,3.0,3.0,overlap,inside
22,23,proper,3.0,2.0,contains,overlap
