gx,gy,rect_ids
0,13,1
0,14,1
1,8,2
1,9,2
1,10,2
1,11,2
1,12,2
1,13,1;2
1,14,1;2
1,15,2
1,16,2
1,17,2
1,18,2
1,19,2
1,20,2
1,21,2
1,22,2
1,23,2
1,24,2
1,25,2
1,26,2
1,27,2
1,28,2
1,29,2
1,30,2
1,31,2
1,32,2
1,33,2
2,8,2
2,9,2
2,10,2
2,11,2
2,12,2
2,13,1;2
2,14,1;2
2,15,2
2,16,2
2,17,2
2,18,2
2,19,2
2,20,2
2,21,2
2,22,2
2,23,2
2,24,2
2,25,2
2,26,2
2,27,2
2,28,2
2,29,2
2,30,2
2,31,2
2,32,2;3
2,33,2;3
2,34,3
2,35,3
2,36,3
2,37,3
2,38,3
2,39,3
2,40,3
2,41,3
2,42,3
2,43,3
2,44,3
2,45,3
2,46,3
3,1,4
3,2,4
3,3,4
3,4,4
3,5,4
3,6,4
3,7,4
3,8,2;4
3,9,2;4
3,10,2;4
3,11,2;4
3,12,2;4
3,13,1;2;4
3,14,1;2;4
3,15,2;4
3,16,2;4
3,17,2;4
3,18,2;4
3,19,2;4
3,20,2;4
3,21,2;4
3,22,2;4
3,23,2;4
3,24,2;4
3,25,2;4
3,26,2;4
3,27,2;4
3,28,2;4
3,29,2;4
3,30,2;4
3,31,2;4
3,32,2;3;4
3,33,2;3;4
3,34,3;4
3,35,3;4
3,36,3;4
3,37,3;4
3,38,3;4
3,39,3;4
3,40,3;4
3,41,3;4
3,42,3;4
3,43,3;4
3,44,3;4
3,45,3
3,46,3
4,1,4
4,2,4
4,3,4;5
4,4,4;5
4,5,4;5
4,6,4;5
4,7,4;5
4,8,2;4;5
4,9,2;4;5
4,10,2;4;5
4,11,2;4;5
4,12,2;4;5
4,13,1;2;4;5
4,14,1;2;4;5
4,15,2;4;5
4,16,2;4;5
4,17,2;4;5
4,18,2;4;5
4,19,2;4;5
4,20,2;4;5
4,21,2;4;5
4,22,2;4;5
4,23,2;4;5
4,24,2;4;5
4,25,2;4;5
4,26,2;4;5
4,27,2;4;5
4,28,2;4;5
4,29,2;4;5
4,30,2;4;5
