u,v,kind,ox,oy,x_rel,y_rel
2,4,proper,10.0,1.0,overlap,contains
2,10,proper,4.0,8.0,overlap,contains
2,13,proper,1.0,7.0,overlap,overlap
4,18,proper,4.0,1.0,contains,inside
4,22,proper,3.0,1.0,contains,inside
6,15,proper,10.0,3.0,contains,overlap
6,21,proper,12.0,4.0,contains,inside
6,24,proper,2.0,4.0,overlap,inside
10,18,proper,4.0,8.0,contains,inside
10,20,proper,2.0,2.0,overlap,overlap
10,21,proper,1.0,4.0,overlap,overlap
13,14,proper,4.0,1.0,overlap,contains
13,15,proper,3.0,5.0,overlap,overlap
14,18,proper,4.0,1.0,contains,inside
14,21,proper,12.0,1.0,contains,inside
14,24,proper,4.0,1.0,overlap,inside
15,18,proper,4.0,1.0,contains,overlap
20,22,proper,3.0,3.0,contains,inside
20,24,proper,3.0,3.0,overlap,inside
21,22,proper,3.0,2.0,contains,overlap
