gx,gy,rect_ids
0,8,1
0,9,1
0,10,1
0,11,1
0,12,1
0,13,1
0,14,1
0,15,1
0,16,1
0,17,1
0,18,1
0,19,1
0,20,1
0,21,1
0,22,1
0,23,1
0,24,1
0,25,1
0,26,1
0,27,1
0,28,1
0,29,1
0,30,1
0,31,1
0,32,1
0,33,1
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,1
1,16,1
1,17,1
1,18,1
1,19,1
1,20,1
1,21,1
1,22,1
1,23,1
1,24,1
1,25,1
1,26,1
1,27,1
1,28,1
1,29,1
1,30,1
1,31,1
1,32,1;2
1,33,1;2
1,34,2
1,35,2
1,36,2
1,37,2
1,38,2
1,39,2
1,40,2
1,41,2
1,42,2
1,43,2
1,44,2
1,45,2
1,46,2
2,8,1
2,9,1
2,10,1
2,11,1
2,12,1
2,13,1;3
2,14,1;3
2,15,1
2,16,1
2,17,1
2,18,1
2,19,1
2,20,1
2,21,1
2,22,1
2,23,1
2,24,1
2,25,1
2,26,1
2,27,1
2,28,1
2,29,1
2,30,1
2,31,1
2,32,1;2
2,33,1;2
2,34,2
2,35,2
2,36,2
2,37,2
2,38,2
2,39,2
2,40,2
2,41,2
2,42,2
2,43,2
2,44,2
2,45,2
2,46,2
3,3,4
3,4,4
3,5,4
3,6,4
3,7,4
3,8,1;4
3,9,1;4
3,10,1;4
3,11,1;4
3,12,1;4
3,13,1;3;4
3,14,1;3;4
3,15,1;4
3,16,1;4
3,17,1;4
3,18,1;4
3,19,1;4
3,20,1;4
3,21,1;4
3,22,1;4
3,23,1;4
3,24,1;4
3,25,1;4
3,26,1;4
3,27,1;4
3,28,1;4
3,29,1;4
3,30,1;4
3,31,1;4
3,32,1;2;4
3,33,1;2;4
3,34,2;4
3,35,2
3,36,2
3,37,2
3,38,2
3,39,2
3,40,2
3,41,2
3,42,2
3,43,2
3,44,2
3,45,2
3,46,2
4,3,4
4,4,4
4,5,4
4,6,4
4,7,4
4,8,1;4
4,9,1;4
4,10,1;4
4,11,1;4
4,12,1;4
4,13,1;3;4
4,14,1;3;4
4,15,1;4
4,16,1;4
4,17,1;4
4,18,1;4
4,19,1;4
4,20,1;4
4,21,1;4
4,22,1;4
4,23,1;4
4,24,1;4
4,25,1;4
4,26,1;4
4,27,1;4
4,28,1;4
4,29,1;4
4,30,1;4
4,31,1;4
4,32,1;2;4
4,33,1;2;4
4,34,2;4
4,35,2
4,36,2;5
4,37,2;5
4,38,2;5
4,39,2;5
4,40,2;5
4,41,2
4,42,2
4,43,2
4,44,2
4,45,2
4,46,2
5,3,4
5,4,4
5,5,4;6
5,6,4;6
5,7,4;6
5,8,1;4;6
5,9,1;4;6
5,10,1;4;6
5,11,1;4;6
5,12,1;4;6
5,13,1;3;4;6
5,14,1;3;4;6
5,15,1;4;6
5,16,1;4;6
5,17,1;4;6
5,18,1;4;6
5,19,1;4;6
5,20,1;4;6
5,21,1;4
5,22,1;4
5,23,1;4
5,24,1;4
5,25,1;4
5,26,1;4
5,27,1;4
5,28,1;4
5,29,1;4
5,30,1;4
5,31,1;4
5,32,1;2;4
5,33,1;2;4
5,34,2;4
5,35,2
5,36,2;5
5,37,2;5
5,38,2;5
5,39,2;5
5,40,2;5
5,41,2
5,42,2
5,43,2
5,44,2
5,45,2
5,46,2
6,0,7
6,1,7
6,2,7
6,3,4;7
6,4,4;7
6,5,4;6;7
6,6,4;6;7
6,7,4;6;7
6,8,1;4;6;7
6,9,1;4;6;7
6,10,1;4;6;7
6,11,1;4;6;7
6,12,1;4;6;7
6,13,1;3;4;6;7
6,14,1;3;4;6;7
6,15,1;4;6;7
6,16,1;4;6;7
6,17,1;4;6;7
6,18,1;4;6;7
6,19,1;4;6;7
6,20,1;4;6;7
6,21,1;4;7
6,22,1;4;7
6,23,1;4
6,24,1;4
6,25,1;4
6,26,1;4
6,27,1;4
6,28,1;4
6,29,1;4
6,30,1;4
6,31,1;4
6,32,1;2;4
6,33,1;2;4
6,34,2;4
6,35,2
6,36,2;5
6,37,2;5
6,38,2;5
6,39,2;5
6,40,2;5
6,41,2
6,42,2
6,43,2
6,44,2
6,45,2
6,46,2
7,0,7
7,1,7
7,2,7
7,3,4;7
7,4,4;7
7,5,4;6;7
7,6,4;6;7
7,7,4;6;7
7,8,1;4;6;7
7,9,1;4;6;7
7,10,1;4;6;7
7,11,1;4;6;7
7,12,1;4;6;7
7,13,1;3;4;6;7
7,14,1;3;4;6;7
7,15,1;4;6;7
7,16,1;4;6;7
7,17,1;4;6;7
7,18,1;4;6;7
7,19,1;4;6;7
7,20,1;4;6;7
7,21,1;4;7
7,22,1;4;7
7,23,1;4
7,24,1;4
7,25,1;4
7,26,1;4
7,27,1;4;8
7,28,1;4;8
7,29,1;4;8
7,30,1;4;8
7,31,1;4;8
7,32,1;2;4;8
7,33,1;2;4;8
7,34,2;4;8
7,35,2;8
7,36,2;5;8
7,37,2;5;8
7,38,2;5;8
7,39,2;5
7,40,2;5
7,41,2
7,42,2
7,43,2
7,44,2
7,45,2
7,46,2
8,0,7
8,1,7
8,2,7
8,3,4;7
8,4,4;7
8,5,4;6;7
8,6,4;6;7
8,7,4;6;7
8,8,1;4;6;7
8,9,1;4;6;7
8,10,1;4;6;7
8,11,1;4;6;7
8,12,1;4;6;7
8,13,1;3;4;6;7
8,14,1;3;4;6;7
8,15,1;4;6;7
8,16,1;4;6;7
8,17,1;4;6;7;9
8,18,1;4;6;7;9
8,19,1;4;6;7;9
8,20,1;4;6;7;9
8,21,1;4;7;9
8,22,1;4;7;9
8,23,1;4;9
