u,v,kind,ox,oy,x_rel,y_rel
1,2,proper,12.0,25.0,contains,contains
1,3,proper,14.0,12.0,contains,overlap
1,4,proper,32.0,1.0,contains,contains
1,5,proper,33.0,31.0,overlap,contains
1,6,proper,32.0,2.0,overlap,contains
1,7,proper,26.0,15.0,contains,contains
1,8,proper,29.0,21.0,contains,overlap
1,9,proper,29.0,9.0,overlap,contains
1,10,proper,20.0,8.0,contains,contains
1,11,proper,27.0,3.0,overlap,contains
1,12,proper,12.0,17.0,contains,contains
1,13,proper,6.0,9.0,contains,contains
1,14,proper,23.0,1.0,overlap,contains
1,15,proper,11.0,9.0,contains,contains
1,16,proper,5.0,31.0,contains,contains
1,17,proper,15.0,33.0,contains,overlap
1,18,proper,4.0,29.0,contains,contains
1,19,proper,10.0,28.0,contains,contains
1,20,proper,12.0,25.0,overlap,contains
1,21,proper,10.0,3.0,overlap,contains
1,22,proper,9.0,23.0,overlap,overlap
1,23,proper,3.0,17.0,contains,contains
2,3,proper,11.0,1.0,overlap,overlap
2,4,proper,10.0,1.0,overlap,contains
2,5,proper,9.0,25.0,overlap,inside
2,7,proper,7.0,12.0,overlap,overlap
2,8,proper,6.0,14.0,overlap,overlap
2,9,proper,5.0,6.0,overlap,overlap
2,10,proper,4.0,8.0,overlap,contains
2,11,proper,3.0,3.0,overlap,contains
2,12,proper,2.0,16.0,overlap,overlap
2,13,proper,1.0,7.0,overlap,overlap
3,5,proper,12.0,2.0,overlap,overlap
3,6,proper,11.0,2.0,overlap,contains
3,9,proper,8.0,4.0,overlap,overlap
3,13,proper,4.0,3.0,overlap,overlap
3,15,proper,1.0,7.0,overlap,overlap
4,5,proper,31.0,1.0,overlap,inside
4,7,proper,26.0,1.0,contains,inside
4,8,proper,28.0,1.0,overlap,inside
4,11,proper,25.0,1.0,overlap,inside
4,12,proper,12.0,1.0,contains,inside
4,16,proper,5.0,1.0,contains,inside
4,17,proper,15.0,1.0,contains,inside
4,18,proper,4.0,1.0,contains,inside
4,19,proper,10.0,1.0,contains,inside
4,23,proper,3.0,1.0,contains,inside
5,7,proper,26.0,15.0,contains,contains
5,8,proper,29.0,19.0,contains,overlap
5,9,proper,30.0,7.0,contains,overlap
5,10,proper,20.0,8.0,contains,contains
5,11,proper,35.0,3.0,overlap,contains
5,12,proper,12.0,17.0,contains,contains
5,13,proper,6.0,8.0,contains,overlap
5,14,proper,30.0,1.0,contains,contains
5,15,proper,11.0,4.0,contains,overlap
5,16,proper,5.0,24.0,contains,overlap
5,17,proper,15.0,23.0,contains,overlap
5,18,proper,4.0,28.0,contains,overlap
5,19,proper,10.0,25.0,contains,overlap
5,20,proper,16.0,16.0,contains,overlap
5,21,proper,16.0,3.0,contains,contains
5,22,proper,11.0,13.0,contains,overlap
5,23,proper,3.0,17.0,contains,contains
5,24,proper,5.0,30.0,overlap,overlap
6,15,proper,11.0,1.0,contains,overlap
6,16,proper,5.0,2.0,contains,inside
6,17,proper,15.0,2.0,contains,inside
6,20,proper,16.0,2.0,contains,inside
6,22,proper,11.0,2.0,contains,inside
6,24,proper,2.0,2.0,overlap,inside
7,8,proper,25.0,15.0,overlap,inside
7,10,proper,20.0,3.0,contains,overlap
7,11,proper,22.0,3.0,overlap,contains
7,12,proper,12.0,13.0,contains,overlap
7,16,proper,5.0,10.0,contains,overlap
7,17,proper,13.0,9.0,overlap,overlap
7,18,proper,4.0,15.0,contains,inside
