u,v,kind,ox,oy,x_rel,y_rel
2,3,proper,11.0,8.0,contains,inside
2,18,proper,4.0,8.0,contains,inside
2,21,proper,2.0,2.0,overlap,overlap
2,22,proper,1.0,4.0,overlap,overlap
3,4,proper,10.0,1.0,overlap,overlap
3,5,proper,9.0,2.0,overlap,contains
3,13,proper,1.0,7.0,overlap,overlap
4,7,proper,10.0,5.0,overlap,contains
4,13,proper,4.0,3.0,overlap,overlap
4,15,proper,1.0,10.0,overlap,overlap
5,18,proper,4.0,2.0,contains,inside
5,23,proper,3.0,2.0,contains,inside
7,15,proper,11.0,5.0,contains,inside
7,22,proper,11.0,5.0,contains,inside
7,24,proper,2.0,3.0,overlap,overlap
13,14,proper,4.0,1.0,overlap,contains
13,15,proper,3.0,5.0,overlap,overlap
14,18,proper,4.0,1.0,contains,inside
14,22,proper,11.0,1.0,contains,inside
14,24,proper,4.0,1.0,overlap,inside
15,18,proper,4.0,1.0,contains,overlap
21,23,proper,3.0,3.0,contains,inside
21,24,proper,3.0,3.0,overlap,inside
22,23,proper,3.0,2.0,contains,overlap
