u,v,kind,ox,oy,x_rel,y_rel
1,7,proper,3.0,4.0,contains,inside
1,10,proper,1.0,4.0,contains,inside
1,13,proper,3.0,3.0,contains,overlap
1,14,proper,1.0,2.0,contains,overlap
2,5,proper,4.0,4.0,contains,inside
2,9,proper,3.0,1.0,overlap,overlap
2,10,proper,1.0,2.0,contains,overlap
4,7,proper,3.0,1.0,contains,inside
4,10,proper,1.0,1.0,contains,inside
4,12,proper,1.0,1.0,overlap,inside
5,6,proper,3.0,1.0,overlap,contains
5,7,proper,2.0,3.0,overlap,overlap
6,10,proper,1.0,1.0,contains,inside
6,11,proper,5.0,1.0,contains,inside
6,14,proper,1.0,1.0,contains,inside
9,11,proper,5.0,5.0,contains,inside
9,14,proper,1.0,4.0,contains,overlap
11,13,proper,2.0,3.0,overlap,overlap
12,13,proper,3.0,3.0,contains,inside
12,14,proper,1.0,3.0,contains,inside
