gx,gy,rect_ids
0,16,1
0,17,1
1,13,2
1,14,2
1,15,2
1,16,1;2
1,17,1;2
1,18,2
1,19,2
1,20,2
2,5,3
2,6,3
2,7,3
2,8,3
2,9,3
2,10,3
2,11,3
2,12,3
2,13,2;3
2,14,2;3
2,15,2;3
2,16,1;2;3
2,17,1;2;3
2,18,2;3
2,19,2;3
2,20,2;3
2,21,3
2,22,3
2,23,3
2,24,3
3,1,4
3,2,4
3,3,4
3,4,4
3,5,3;4
3,6,3;4
3,7,3
3,8,3
3,9,3
3,10,3
3,11,3
3,12,3
3,13,2;3
3,14,2;3
3,15,2;3
3,16,1;2;3
3,17,1;2;3
3,18,2;3
3,19,2;3
3,20,2;3
3,21,3
3,22,3
3,23,3
3,24,3
4,1,4
4,2,4
4,3,4
4,4,4
4,5,3;4
4,6,3;4
4,7,3
4,8,3
4,9,3
4,10,3
4,11,3
4,12,3
4,13,2;3
4,14,2;3
4,15,2;3
4,16,1;2;3
4,17,1;2;3
4,18,2;3;5
4,19,2;3;5
4,20,2;3;5
4,21,3;5
4,22,3;5
4,23,3
4,24,3
5,1,4
5,2,4
5,3,4
5,4,4
5,5,3;4
5,6,3;4
5,7,3
5,8,3
5,9,3
5,10,3
5,11,3;6
5,12,3;6
5,13,2;3;6
5,14,2;3;6
5,15,2;3;6
5,16,1;2;3;6
5,17,1;2;3;6
5,18,2;3;5;6
5,19,2;3;5;6
5,20,2;3;5;6
5,21,3;5;6
5,22,3;5;6
5,23,3;6
5,24,3
6,1,4
6,2,4;7
6,3,4;7
6,4,4;7
6,5,3;4;7
6,6,3;4;7
6,7,3;7
6,8,3;7
6,9,3;7
6,10,3;7
6,11,3;6;7
6,12,3;6;7
6,13,2;3;6;7
6,14,2;3;6;7
6,15,2;3;6
6,16,1;2;3;6
6,17,1;2;3;6
6,18,2;3;5;6
6,19,2;3;5;6
6,20,2;3;5;6
6,21,3;5;6
6,22,3;5;6
6,23,3;6
6,24,3
7,1,4
7,2,4;7
7,3,4;7
7,4,4;7
7,5,3;4;7
7,6,3;4;7
7,7,3;7
7,8,3;7;8
7,9,3;7;8
7,10,3;7
7,11,3;6;7
7,12,3;6;7
7,13,2;3;6;7
7,14,2;3;6;7
7,15,2;3;6
7,16,1;2;3;6
7,17,1;2;3;6
7,18,2;3;5;6
7,19,2;3;5;6
7,20,2;3;5;6
7,21,3;5;6
7,22,3;5;6
7,23,3;6
7,24,3
8,1,4
8,2,4;7
8,3,4;7
