u,v,kind,ox,oy,x_rel,y_rel
1,2,proper,21.0,1.0,overlap,inside
1,6,proper,1.0,1.0,contains,inside
1,7,proper,3.0,1.0,contains,inside
1,9,proper,5.0,1.0,contains,inside
1,11,proper,2.0,1.0,contains,inside
1,14,proper,2.0,1.0,overlap,inside
2,6,proper,1.0,7.0,contains,inside
2,7,proper,3.0,7.0,contains,inside
2,8,proper,3.0,2.0,contains,overlap
2,9,proper,5.0,7.0,contains,inside
2,11,proper,2.0,6.0,contains,overlap
2,12,proper,9.0,2.0,overlap,overlap
2,13,proper,2.0,1.0,contains,overlap
2,14,proper,3.0,7.0,contains,inside
3,6,proper,1.0,3.0,contains,inside
3,7,proper,3.0,3.0,contains,inside
3,8,proper,3.0,3.0,contains,inside
3,10,proper,1.0,1.0,overlap,contains
4,6,proper,1.0,4.0,contains,overlap
4,7,proper,3.0,3.0,contains,overlap
4,9,proper,5.0,5.0,contains,inside
4,12,proper,2.0,1.0,overlap,overlap
5,6,proper,1.0,2.0,contains,overlap
5,7,proper,3.0,1.0,contains,overlap
5,8,proper,3.0,3.0,contains,overlap
5,11,proper,2.0,5.0,contains,inside
5,13,proper,2.0,4.0,contains,overlap
7,8,proper,2.0,10.0,overlap,overlap
7,9,proper,1.0,12.0,overlap,overlap
8,9,proper,2.0,3.0,overlap,overlap
10,11,proper,2.0,1.0,contains,inside
10,13,proper,2.0,1.0,contains,inside
11,12,proper,1.0,1.0,overlap,overlap
12,14,proper,3.0,4.0,contains,inside
13,14,proper,1.0,3.0,overlap,overlap
