u,v,kind,ox,oy,x_rel,y_rel
1,7,proper,2.0,4.0,contains,overlap
1,9,proper,2.0,5.0,contains,inside
1,12,proper,3.0,3.0,contains,overlap
1,13,proper,3.0,1.0,contains,overlap
1,14,proper,1.0,2.0,contains,overlap
2,4,proper,4.0,4.0,contains,inside
2,6,proper,6.0,2.0,overlap,overlap
2,8,proper,2.0,1.0,overlap,overlap
2,9,proper,1.0,1.0,overlap,overlap
3,4,proper,4.0,1.0,contains,inside
3,6,proper,21.0,1.0,contains,inside
3,9,proper,2.0,1.0,contains,inside
3,10,proper,5.0,1.0,contains,inside
3,13,proper,3.0,1.0,contains,inside
3,14,proper,1.0,1.0,contains,inside
4,6,proper,2.0,7.0,overlap,contains
4,7,proper,1.0,3.0,overlap,overlap
5,7,proper,2.0,1.0,contains,inside
5,9,proper,2.0,1.0,contains,inside
5,11,proper,1.0,1.0,overlap,inside
6,7,proper,2.0,1.0,contains,overlap
6,9,proper,2.0,6.0,contains,overlap
6,10,proper,5.0,7.0,contains,inside
6,12,proper,3.0,2.0,contains,overlap
6,13,proper,3.0,7.0,contains,inside
6,14,proper,1.0,7.0,contains,inside
8,10,proper,5.0,5.0,contains,inside
8,13,proper,3.0,3.0,contains,overlap
8,14,proper,1.0,4.0,contains,overlap
10,12,proper,2.0,3.0,overlap,overlap
10,13,proper,1.0,12.0,overlap,overlap
11,12,proper,3.0,3.0,contains,inside
11,13,proper,3.0,3.0,contains,inside
11,14,proper,1.0,3.0,contains,inside
12,13,proper,2.0,10.0,overlap,overlap
