gx,gy,rect_ids
0,13,1
0,14,1
0,15,1
0,16,1
0,17,1
0,18,1
0,19,1
0,20,1
1,13,1
1,14,1
1,15,1
1,16,1
1,17,1
1,18,1;2
1,19,1;2
1,20,1;2
1,21,2
1,22,2
2,1,3
2,2,3
2,3,3
2,4,3
2,5,3
2,6,3
2,13,1
2,14,1
2,15,1
2,16,1
2,17,1
2,18,1;2
2,19,1;2
2,20,1;2
2,21,2
2,22,2
3,1,3
3,2,3;4
3,3,3;4
3,4,3;4
3,5,3;4
3,6,3;4
3,7,4
3,8,4
3,9,4
3,10,4
3,11,4
3,12,4
3,13,1;4
3,14,1;4
3,15,1
3,16,1
3,17,1
3,18,1;2
3,19,1;2
3,20,1;2
3,21,2
3,22,2
4,1,3
4,2,3;4
4,3,3;4
4,4,3;4
4,5,3;4
4,6,3;4
4,7,4
4,8,4
4,9,4
4,10,4
4,11,4
4,12,4
4,13,1;4
4,14,1;4
4,15,1
4,16,1;5
4,17,1;5
4,18,1;2
4,19,1;2
4,20,1;2
4,21,2
4,22,2
5,1,3
5,2,3;4
5,3,3;4
5,4,3;4
5,5,3;4
5,6,3;4
5,7,4
5,8,4
5,9,4
5,10,4
5,11,4;6
5,12,4;6
5,13,1;4;6
5,14,1;4;6
5,15,1;6
5,16,1;5;6
5,17,1;5;6
5,18,1;2;6
5,19,1;2;6
5,20,1;2;6
5,21,2;6
5,22,2;6
5,23,6
6,1,3
6,2,3;4
6,3,3;4
6,4,3;4
6,5,3;4;7
6,6,3;4;7
6,7,4;7
6,8,4;7
6,9,4;7
6,10,4;7
6,11,4;6;7
6,12,4;6;7
6,13,1;4;6;7
6,14,1;4;6;7
6,15,1;6;7
6,16,1;5;6;7
6,17,1;5;6;7
6,18,1;2;6;7
6,19,1;2;6;7
6,20,1;2;6;7
6,21,2;6;7
6,22,2;6;7
6,23,6;7
6,24,7
7,1,3
7,2,3;4
7,3,3;4
7,4,3;4
7,5,3;4;7
7,6,3;4;7
7,7,4;7
7,8,4;7;8
7,9,4;7;8
7,10,4;7
7,11,4;6;7
7,12,4;6;7
7,13,1;4;6;7
