gx,gy,rect_ids
0,7,1
0,8,1
0,9,1
0,10,1
1,7,1
1,8,1
1,9,1
1,10,1
1,18,2
1,19,2
1,20,2
1,21,2
1,22,2
2,1,3
2,2,3
2,3,3
2,4,3
2,5,3
2,6,3
2,7,1
2,8,1
2,9,1
2,10,1
2,18,2
2,19,2
2,20,2
2,21,2
2,22,2
3,1,3
3,2,3
3,3,3
3,4,3
3,5,3
3,6,3
3,7,1
3,8,1
3,9,1
3,10,1
3,11,4
3,12,4
3,13,4
3,14,4
3,15,4
3,16,4
3,17,4
3,18,2;4
3,19,2;4
3,20,2;4
3,21,2;4
3,22,2;4
3,23,4
4,1,3
4,2,3
4,3,3
4,4,3
4,5,3
4,6,3
4,7,1
4,8,1
4,9,1
4,10,1
4,11,4
4,12,4
4,13,4
4,14,4
4,15,4
4,16,4;5
4,17,4;5
4,18,2;4
4,19,2;4
4,20,2;4
4,21,2;4
4,22,2;4
4,23,4
5,1,3
5,2,3
5,3,3
5,4,3
5,5,3
5,6,3
5,7,1
5,8,1
5,9,1
5,10,1
5,11,4
5,12,4
5,13,4;6
5,14,4;6
5,15,4;6
5,16,4;5;6
5,17,4;5;6
5,18,2;4;6
5,19,2;4;6
5,20,2;4;6
5,21,2;4
5,22,2;4
5,23,4
6,1,3
6,2,3;7
6,3,3;7
6,4,3;7
6,5,3;7
6,6,3;7
6,7,1;7
6,8,1;7
6,9,1;7
6,10,1;7
6,11,4;7
6,12,4;7
6,13,4;6;7
6,14,4;6;7
6,15,4;6
6,16,4;5;6
6,17,4;5;6
6,18,2;4;6
6,19,2;4;6
6,20,2;4;6
6,21,2;4
6,22,2;4
6,23,4
7,1,3
7,2,3;7
7,3,3;7
7,4,3;7
7,5,3;7
7,6,3;7
7,7,1;7
7,8,1;7
7,9,1;7
7,10,1;7
7,11,4;7
7,12,4;7
7,13,4;6;7
7,14,4;6;7
7,15,4;6
7,16,4;5;6
7,17,4;5;6
7,18,2;4;6
7,19,2;4;6
7,20,2;4;6
7,21,2;4
7,22,2;4
7,23,4
8,1,3
8,2,3;7
8,3,3;7
8,4,3;7
8,5,3;7
8,6,3;7
8,7,1;7
8,8,1;7
8,9,1;7
8,10,1;7
8,11,7
8,12,7
8,13,6;7
8,14,6;7
8,15,6
8,16,5;6
8,17,5;6
8,18,2;6
8,19,2;6
8,20,2;6
8,21,2
8,22,2
9,1,3
9,2,3
9,3,3
9,4,3
9,5,3
9,6,3
9,7,1
9,8,1
9,9,1
9,10,1
9,13,6
9,14,6
9,15,6
9,16,5;6
9,17,5;6
9,18,2;6
9,19,2;6
9,20,2;6
9,21,2;8
9,22,2;8
9,23,8
9,24,8
9,25,8
9,26,8
10,0,9
10,1,3;9
10,2,3;9
10,3,3;9
10,4,3;9
10,5,3;9
10,6,3;9
10,7,1;9
10,8,1;9
10,9,1;9
10,10,1;9
10,11,9
10,12,9
10,13,6;9
10,14,6;9
10,15,6;9
10,16,5;6;9
10,17,5;6;9
10,18,2;6;9
10,19,2;6;9
10,20,2;6
10,21,2;8
10,22,2;8
10,23,8
10,24,8
10,25,8
10,26,8
11,0,9
11,1,3;9
11,2,3;9
11,3,3;9
11,4,3;9
11,5,3;9
11,6,3;9
11,7,1;9
11,8,1;9
11,9,1;9
11,10,1;9
11,11,9
11,12,9
11,13,6;9
11,14,6;9
11,15,6;9
11,16,5;6;9
11,17,5;6;9
11,18,2;6;9
11,19,2;6;9
11,20,2;6
11,21,2;8
11,22,2;8
11,23,8
11,24,8
11,25,8
11,26,8
12,0,9
12,1,3;9
12,2,3;9
12,3,3;9
12,4,3;9
12,5,3;9
12,6,3;9
12,7,1;9
12,8,1;9
12,9,1;9
12,10,1;9
12,11,9
12,12,9
12,13,6;9
12,14,6;9
12,15,6;9
12,16,5;6;9
12,17,5;6;9
12,18,6;9
12,19,6;9
12,20,6
12,21,8
12,22,8
12,23,8
12,24,8
12,25,8
12,26,8
13,1,3
13,2,3
13,3,3
13,4,3
13,5,3
13,6,3
13,7,1
13,8,1
13,9,1
13,10,1
13,12,10
13,13,6;10
13,14,6;10
13,15,6;10
13,16,5;6;10
13,17,5;6;10
13,18,6;10
13,19,6;10
13,20,6;10
13,21,8;10
13,22,8;10
13,23,8;10
13,24,8;10
13,25,8;10
13,26,8;10
13,27,10
14,1,3
14,2,3
14,3,3
14,4,3
14,5,3
14,6,3
14,7,1
14,8,1;11
14,9,1;11
14,10,1
14,12,10
14,13,6;10
14,14,6;10
14,15,6;10
14,16,5;6;10
14,17,5;6;10
14,18,6;10
14,19,6;10
14,20,6;10
14,21,8;10
14,22,8;10
14,23,8;10
14,24,8;10
14,25,8;10
14,26,8;10
14,27,10
15,1,3
15,2,3
15,3,3
