u,v,kind,ox,oy,x_rel,y_rel
1,4,proper,5.0,3.0,contains,inside
1,9,proper,2.0,3.0,contains,inside
1,11,proper,1.0,1.0,overlap,contains
2,3,proper,3.0,4.0,contains,inside
2,7,proper,4.0,4.0,overlap,inside
2,8,proper,2.0,1.0,overlap,contains
2,9,proper,1.0,1.0,overlap,overlap
3,4,proper,2.0,3.0,overlap,overlap
3,5,proper,1.0,1.0,overlap,contains
4,6,proper,2.0,4.0,overlap,overlap
4,7,proper,1.0,1.0,overlap,overlap
5,7,proper,18.0,1.0,overlap,inside
5,9,proper,2.0,1.0,contains,inside
5,10,proper,5.0,1.0,contains,inside
5,13,proper,3.0,1.0,contains,inside
5,14,proper,1.0,1.0,contains,inside
6,9,proper,2.0,5.0,contains,inside
6,12,proper,3.0,3.0,contains,overlap
6,13,proper,3.0,1.0,contains,overlap
6,14,proper,1.0,2.0,contains,overlap
7,8,proper,15.0,1.0,contains,contains
7,9,proper,2.0,6.0,contains,overlap
7,10,proper,5.0,13.0,contains,inside
7,12,proper,3.0,2.0,contains,overlap
7,13,proper,3.0,11.0,contains,overlap
7,14,proper,1.0,12.0,contains,overlap
8,10,proper,5.0,1.0,contains,inside
8,13,proper,3.0,1.0,contains,inside
8,14,proper,1.0,1.0,contains,inside
10,12,proper,2.0,3.0,overlap,overlap
10,13,proper,1.0,12.0,overlap,overlap
11,12,proper,3.0,1.0,contains,inside
11,13,proper,3.0,1.0,contains,inside
11,14,proper,1.0,1.0,contains,inside
12,13,proper,2.0,10.0,overlap,overlap
