u,v,kind,ox,oy,x_rel,y_rel
1,2,proper,13.0,1.0,contains,overlap
1,8,proper,2.0,4.0,contains,overlap
1,10,proper,2.0,5.0,contains,inside
1,13,proper,2.0,3.0,contains,overlap
1,14,proper,1.0,2.0,contains,overlap
2,3,proper,10.0,4.0,contains,contains
2,4,proper,11.0,7.0,overlap,contains
2,5,proper,10.0,1.0,overlap,contains
2,6,proper,3.0,12.0,contains,contains
2,7,proper,8.0,1.0,overlap,contains
2,8,proper,2.0,9.0,contains,overlap
2,9,proper,4.0,3.0,overlap,overlap
2,10,proper,2.0,14.0,contains,overlap
3,4,proper,9.0,2.0,overlap,overlap
3,6,proper,3.0,4.0,contains,inside
3,9,proper,2.0,1.0,overlap,overlap
3,10,proper,1.0,1.0,overlap,overlap
4,6,proper,3.0,7.0,contains,inside
4,7,proper,20.0,1.0,overlap,contains
4,8,proper,2.0,1.0,contains,overlap
4,10,proper,2.0,6.0,contains,overlap
4,11,proper,4.0,7.0,contains,inside
4,13,proper,2.0,2.0,contains,overlap
4,14,proper,1.0,7.0,contains,inside
5,8,proper,2.0,1.0,contains,inside
5,10,proper,2.0,1.0,contains,inside
5,12,proper,1.0,1.0,overlap,inside
6,7,proper,2.0,1.0,overlap,contains
6,8,proper,1.0,3.0,overlap,overlap
7,10,proper,2.0,1.0,contains,inside
7,11,proper,4.0,1.0,contains,inside
7,14,proper,1.0,1.0,contains,inside
9,11,proper,4.0,5.0,contains,overlap
9,14,proper,1.0,4.0,contains,overlap
11,13,proper,1.0,3.0,overlap,overlap
12,13,proper,2.0,3.0,contains,inside
12,14,proper,1.0,3.0,contains,inside
