u,v,kind,ox,oy,x_rel,y_rel
1,5,proper,3.0,4.0,contains,inside
1,9,proper,1.0,4.0,contains,inside
1,12,proper,3.0,3.0,contains,overlap
1,13,proper,3.0,1.0,contains,overlap
1,14,proper,1.0,2.0,contains,overlap
2,3,proper,10.0,1.0,overlap,overlap
2,6,proper,3.0,4.0,contains,inside
2,8,proper,3.0,1.0,overlap,overlap
2,9,proper,1.0,2.0,contains,overlap
3,5,proper,3.0,1.0,contains,overlap
3,6,proper,3.0,6.0,contains,inside
3,7,proper,19.0,1.0,contains,contains
3,9,proper,1.0,6.0,contains,inside
3,10,proper,5.0,6.0,contains,inside
3,12,proper,3.0,2.0,contains,overlap
3,13,proper,3.0,6.0,contains,inside
3,14,proper,1.0,6.0,contains,inside
4,5,proper,3.0,1.0,contains,inside
4,9,proper,1.0,1.0,contains,inside
4,11,proper,1.0,1.0,overlap,inside
5,6,proper,2.0,3.0,overlap,overlap
6,7,proper,2.0,1.0,overlap,contains
7,9,proper,1.0,1.0,contains,inside
7,10,proper,5.0,1.0,contains,inside
7,13,proper,3.0,1.0,contains,inside
7,14,proper,1.0,1.0,contains,inside
8,10,proper,5.0,5.0,contains,inside
8,13,proper,3.0,3.0,contains,overlap
8,14,proper,1.0,4.0,contains,overlap
10,12,proper,2.0,3.0,overlap,overlap
10,13,proper,1.0,12.0,overlap,overlap
11,12,proper,3.0,3.0,contains,inside
11,13,proper,3.0,3.0,contains,inside
11,14,proper,1.0,3.0,contains,inside
12,13,proper,2.0,10.0,overlap,overlap
