u,v,kind,ox,oy,x_rel,y_rel
1,4,proper,5.0,3.0,contains,inside
1,9,proper,2.0,3.0,contains,inside
1,11,proper,1.0,1.0,overlap,contains
2,5,proper,3.0,4.0,contains,inside
2,8,proper,2.0,1.0,overlap,overlap
2,9,proper,1.0,1.0,overlap,overlap
3,5,proper,3.0,1.0,contains,inside
3,9,proper,2.0,1.0,contains,inside
3,10,proper,5.0,1.0,contains,inside
3,14,proper,1.0,1.0,contains,inside
4,5,proper,3.0,3.0,contains,overlap
4,7,proper,2.0,4.0,overlap,overlap
7,9,proper,2.0,5.0,contains,inside
7,12,proper,3.0,3.0,contains,overlap
7,14,proper,1.0,2.0,contains,overlap
8,10,proper,5.0,5.0,contains,inside
8,14,proper,1.0,4.0,contains,overlap
10,12,proper,2.0,3.0,overlap,overlap
11,12,proper,3.0,1.0,contains,inside
11,14,proper,1.0,1.0,contains,inside
