u,v,kind,ox,oy,x_rel,y_rel
1,2,proper,7.0,7.0,overlap,contains
1,3,proper,6.0,12.0,overlap,inside
1,5,proper,4.0,4.0,overlap,contains
1,6,proper,3.0,1.0,overlap,contains
1,7,proper,2.0,3.0,overlap,overlap
2,3,proper,16.0,7.0,contains,inside
2,5,proper,9.0,2.0,contains,overlap
2,6,proper,18.0,1.0,overlap,contains
2,7,proper,3.0,1.0,contains,overlap
2,10,proper,1.0,6.0,contains,overlap
2,11,proper,5.0,7.0,contains,inside
2,13,proper,3.0,2.0,contains,overlap
2,14,proper,1.0,7.0,contains,inside
3,4,proper,15.0,1.0,overlap,overlap
3,5,proper,9.0,4.0,contains,contains
3,6,proper,13.0,1.0,overlap,contains
3,7,proper,3.0,9.0,contains,overlap
3,8,proper,9.0,1.0,contains,contains
3,9,proper,8.0,3.0,overlap,overlap
3,10,proper,1.0,14.0,contains,overlap
3,11,proper,4.0,12.0,overlap,overlap
3,12,proper,3.0,3.0,overlap,contains
3,13,proper,1.0,10.0,overlap,overlap
4,7,proper,3.0,4.0,contains,overlap
4,10,proper,1.0,5.0,contains,inside
4,13,proper,3.0,3.0,contains,overlap
4,14,proper,1.0,2.0,contains,overlap
5,9,proper,3.0,1.0,overlap,overlap
5,10,proper,1.0,1.0,contains,overlap
6,10,proper,1.0,1.0,contains,inside
6,11,proper,5.0,1.0,contains,inside
6,14,proper,1.0,1.0,contains,inside
7,8,proper,2.0,1.0,overlap,contains
8,10,proper,1.0,1.0,contains,inside
8,12,proper,1.0,1.0,overlap,inside
9,11,proper,5.0,5.0,contains,inside
9,14,proper,1.0,4.0,contains,overlap
11,13,proper,2.0,3.0,overlap,overlap
12,13,proper,3.0,3.0,contains,inside
12,14,proper,1.0,3.0,contains,inside
