u,v,kind,ox,oy,x_rel,y_rel
1,7,proper,3.0,4.0,contains,inside
1,8,proper,11.0,1.0,contains,overlap
1,10,proper,1.0,4.0,contains,inside
1,13,proper,3.0,3.0,contains,overlap
1,14,proper,1.0,2.0,contains,overlap
2,3,proper,11.0,1.0,overlap,overlap
2,5,proper,4.0,4.0,contains,inside
2,8,proper,6.0,4.0,overlap,inside
2,9,proper,3.0,1.0,overlap,overlap
2,10,proper,1.0,2.0,contains,overlap
3,5,proper,4.0,6.0,contains,inside
3,6,proper,20.0,1.0,contains,contains
3,7,proper,3.0,1.0,contains,overlap
3,8,proper,11.0,6.0,contains,inside
3,10,proper,1.0,6.0,contains,inside
3,11,proper,5.0,6.0,contains,inside
3,13,proper,3.0,2.0,contains,overlap
3,14,proper,1.0,6.0,contains,inside
4,7,proper,3.0,1.0,contains,inside
4,8,proper,9.0,1.0,overlap,inside
4,10,proper,1.0,1.0,contains,inside
4,12,proper,1.0,1.0,overlap,inside
5,6,proper,3.0,1.0,overlap,contains
5,7,proper,2.0,3.0,overlap,overlap
5,8,proper,1.0,12.0,overlap,inside
6,8,proper,11.0,1.0,contains,inside
6,10,proper,1.0,1.0,contains,inside
6,11,proper,5.0,1.0,contains,inside
6,14,proper,1.0,1.0,contains,inside
7,8,proper,2.0,9.0,overlap,overlap
8,9,proper,8.0,3.0,overlap,overlap
8,10,proper,1.0,15.0,contains,overlap
8,11,proper,4.0,12.0,overlap,overlap
8,12,proper,3.0,3.0,overlap,contains
8,13,proper,1.0,10.0,overlap,overlap
9,11,proper,5.0,5.0,contains,inside
9,14,proper,1.0,4.0,contains,overlap
11,13,proper,2.0,3.0,overlap,overlap
12,13,proper,3.0,3.0,contains,inside
12,14,proper,1.0,3.0,contains,inside
