u,v,kind,ox,oy,x_rel,y_rel
1,8,proper,2.0,4.0,contains,overlap
1,10,proper,2.0,5.0,contains,inside
1,13,proper,2.0,3.0,contains,overlap
1,14,proper,1.0,2.0,contains,overlap
3,6,proper,3.0,4.0,contains,inside
3,9,proper,2.0,1.0,overlap,overlap
3,10,proper,1.0,1.0,overlap,overlap
5,8,proper,2.0,1.0,contains,inside
5,10,proper,2.0,1.0,contains,inside
5,12,proper,1.0,1.0,overlap,inside
6,7,proper,2.0,1.0,overlap,contains
6,8,proper,1.0,3.0,overlap,overlap
7,10,proper,2.0,1.0,contains,inside
7,11,proper,4.0,1.0,contains,inside
7,14,proper,1.0,1.0,contains,inside
9,11,proper,4.0,5.0,contains,overlap
9,14,proper,1.0,4.0,contains,overlap
11,13,proper,1.0,3.0,overlap,overlap
12,13,proper,2.0,3.0,contains,inside
12,14,proper,1.0,3.0,contains,inside
