gx,gy,rect_ids
0,11,1
0,12,1
0,13,1
0,14,1
0,15,1
0,16,1
0,17,1
0,18,1
0,19,1
0,20,1
0,21,1
0,22,1
0,23,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,1
1,16,1
1,17,1
1,18,1;2
1,19,1;2
1,20,1;2
1,21,1;2
1,22,1;2
1,23,1
2,2,3
2,3,3
2,4,3
2,5,3
2,6,3
2,7,3
2,8,3
2,9,3
2,10,3
2,11,1;3
2,12,1;3
2,13,1;3
2,14,1;3
2,15,1
2,16,1
2,17,1
2,18,1;2
2,19,1;2
2,20,1;2
2,21,1;2
2,22,1;2
2,23,1
3,2,3
3,3,3
3,4,3
3,5,3
3,6,3
3,7,3
3,8,3
3,9,3
3,10,3
3,11,1;3
3,12,1;3
3,13,1;3
3,14,1;3
3,15,1
3,16,1;4
3,17,1;4
3,18,1;2
3,19,1;2
3,20,1;2
3,21,1;2
3,22,1;2
3,23,1
4,2,3
4,3,3
4,4,3
4,5,3
4,6,3
4,7,3
4,8,3
4,9,3
4,10,3
4,11,1;3
4,12,1;3
4,13,1;3;5
4,14,1;3;5
4,15,1;5
4,16,1;4;5
4,17,1;4;5
4,18,1;2;5
4,19,1;2;5
4,20,1;2;5
4,21,1;2
4,22,1;2
4,23,1
5,2,3
5,3,3
5,4,3
5,5,3;6
5,6,3;6
5,7,3;6
5,8,3;6
5,9,3;6
5,10,3;6
5,11,1;3;6
5,12,1;3;6
5,13,1;3;5;6
5,14,1;3;5;6
5,15,1;5;6
5,16,1;4;5;6
5,17,1;4;5;6
5,18,1;2;5;6
5,19,1;2;5;6
5,20,1;2;5;6
5,21,1;2;6
5,22,1;2;6
5,23,1;6
5,24,6
6,1,7
6,2,3;7
6,3,3;7
6,4,3;7
6,5,3;6;7
6,6,3;6;7
6,7,3;6
6,8,3;6
6,9,3;6
6,10,3;6
6,11,1;3;6
6,12,1;3;6
6,13,1;3;5;6
6,14,1;3;5;6
6,15,1;5;6
6,16,1;4;5;6
6,17,1;4;5;6
6,18,1;2;5;6
6,19,1;2;5;6
6,20,1;2;5;6
6,21,1;2;6
6,22,1;2;6
6,23,1;6
6,24,6
7,1,7
7,2,3;7
7,3,3;7
7,4,3;7
7,5,3;6;7
7,6,3;6;7
7,7,3;6
7,8,3;6;8
7,9,3;6;8
7,10,3;6
7,11,1;3;6
7,12,1;3;6
7,13,1;3;5;6
7,14,1;3;5;6
7,15,1;5;6
7,16,1;4;5;6
7,17,1;4;5;6
7,18,1;2;5;6
