gx,gy,rect_ids
0,11,1
0,12,1
0,13,1
0,14,1
0,15,1
0,16,1
0,17,1
0,18,1
0,19,1
0,20,1
0,21,1
0,22,1
0,23,1
1,1,2
1,2,2
1,3,2
1,4,2
1,5,2
1,6,2
1,11,1
1,12,1
1,13,1
1,14,1
1,15,1
1,16,1
1,17,1
1,18,1
1,19,1
1,20,1
1,21,1
1,22,1
1,23,1
2,1,2
2,2,2
2,3,2
2,4,2
2,5,2
2,6,2
2,11,1
2,12,1
2,13,1
2,14,1
2,15,1
2,16,1
2,17,1
2,18,1;3
2,19,1;3
2,20,1;3
2,21,1;3
2,22,1;3
2,23,1
3,1,2
3,2,2
3,3,2
3,4,2
3,5,2
3,6,2
3,11,1
3,12,1
3,13,1;4
3,14,1;4
3,15,1;4
3,16,1;4
3,17,1;4
3,18,1;3;4
3,19,1;3;4
3,20,1;3;4
3,21,1;3
3,22,1;3
3,23,1
4,1,2
4,2,2
4,3,2
4,4,2
4,5,2
4,6,2
4,8,5
4,9,5
4,11,1
4,12,1
4,13,1;4
4,14,1;4
4,15,1;4
4,16,1;4
4,17,1;4
4,18,1;3;4
4,19,1;3;4
4,20,1;3;4
4,21,1;3
4,22,1;3
4,23,1
5,1,2
5,2,2
5,3,2
5,4,2
5,5,2
5,6,2
5,8,5
5,9,5
5,11,1
5,12,1
5,13,1;4
5,14,1;4
5,15,1;4
5,16,1;4;6
5,17,1;4;6
5,18,1;3;4
5,19,1;3;4
5,20,1;3;4
5,21,1;3
5,22,1;3
5,23,1
6,1,2
6,2,2;7
6,3,2;7
6,4,2;7
6,5,2;7
6,6,2;7
6,7,7
6,8,5;7
6,9,5;7
6,10,7
6,11,1;7
6,12,1;7
6,13,1;4;7
6,14,1;4;7
6,15,1;4
6,16,1;4;6
6,17,1;4;6
6,18,1;3;4
6,19,1;3;4
6,20,1;3;4
6,21,1;3
6,22,1;3
6,23,1
7,1,2
7,2,2;7
7,3,2;7
7,4,2;7
7,5,2;7
7,6,2;7
7,7,7
7,8,5;7
7,9,5;7
7,10,7
7,11,1;7
7,12,1;7
7,13,1;4;7
7,14,1;4;7
7,15,1;4
7,16,1;4;6
7,17,1;4;6
7,18,1;3;4
7,19,1;3;4
7,20,1;3;4
7,21,1;3
7,22,1;3
7,23,1
8,1,2
8,2,2;7
8,3,2;7
8,4,2;7
8,5,2;7
8,6,2;7
8,7,7
8,8,5;7
8,9,5;7
8,10,7
8,11,7
8,12,7
8,13,4;7
8,14,4;7
8,15,4
8,16,4;6
