u,v,kind,ox,oy,x_rel,y_rel
1,7,proper,2.0,3.0,contains,inside
1,9,proper,2.0,3.0,contains,inside
1,11,proper,1.0,1.0,overlap,contains
2,3,proper,9.0,2.0,overlap,overlap
2,5,proper,3.0,4.0,contains,inside
2,8,proper,2.0,1.0,overlap,overlap
2,9,proper,1.0,1.0,overlap,overlap
3,5,proper,3.0,5.0,contains,inside
3,6,proper,20.0,1.0,contains,contains
3,9,proper,2.0,4.0,contains,overlap
3,10,proper,5.0,5.0,contains,inside
3,13,proper,3.0,5.0,contains,inside
3,14,proper,1.0,5.0,contains,inside
4,7,proper,2.0,4.0,contains,overlap
4,9,proper,2.0,5.0,contains,inside
4,12,proper,3.0,3.0,contains,overlap
4,13,proper,3.0,1.0,contains,overlap
4,14,proper,1.0,2.0,contains,overlap
5,6,proper,2.0,1.0,overlap,contains
5,7,proper,1.0,3.0,overlap,overlap
6,9,proper,2.0,1.0,contains,inside
6,10,proper,5.0,1.0,contains,inside
6,13,proper,3.0,1.0,contains,inside
6,14,proper,1.0,1.0,contains,inside
8,10,proper,5.0,5.0,contains,inside
8,13,proper,3.0,3.0,contains,overlap
8,14,proper,1.0,4.0,contains,overlap
10,12,proper,2.0,1.0,overlap,overlap
10,13,proper,1.0,12.0,overlap,overlap
11,12,proper,3.0,1.0,contains,inside
11,13,proper,3.0,1.0,contains,inside
11,14,proper,1.0,1.0,contains,inside
12,13,proper,2.0,8.0,overlap,overlap
