u,v,kind,ox,oy,x_rel,y_rel
1,2,proper,7.0,2.0,overlap,overlap
1,6,proper,3.0,1.0,overlap,contains
1,8,proper,1.0,1.0,overlap,overlap
2,7,proper,7.0,1.0,overlap,overlap
2,10,proper,1.0,1.0,contains,overlap
3,8,proper,3.0,4.0,contains,overlap
3,10,proper,1.0,5.0,contains,inside
3,13,proper,3.0,3.0,contains,overlap
3,14,proper,1.0,2.0,contains,overlap
6,10,proper,1.0,1.0,contains,inside
6,11,proper,5.0,1.0,contains,inside
6,14,proper,1.0,1.0,contains,inside
7,11,proper,5.0,5.0,contains,inside
7,14,proper,1.0,4.0,contains,overlap
8,9,proper,1.0,1.0,overlap,contains
9,10,proper,1.0,1.0,contains,inside
9,12,proper,1.0,1.0,overlap,inside
11,13,proper,2.0,3.0,overlap,overlap
12,13,proper,3.0,3.0,contains,inside
12,14,proper,1.0,3.0,contains,inside
