gx,gy,rect_ids
0,7,1
0,8,1
0,9,1
0,10,1
1,7,1
1,8,1
1,9,1
1,10,1
1,18,2
1,19,2
1,20,2
1,21,2
1,22,2
2,5,3
2,6,3
2,7,1;3
2,8,1;3
2,9,1;3
2,10,1;3
2,11,3
2,12,3
2,13,3
2,14,3
2,15,3
2,16,3
2,17,3
2,18,2;3
2,19,2;3
2,20,2;3
2,21,2;3
2,22,2;3
2,23,3
2,24,3
3,5,3
3,6,3
3,7,1;3
3,8,1;3
3,9,1;3
3,10,1;3
3,11,3
3,12,3
3,13,3;4
3,14,3;4
3,15,3;4
3,16,3;4
3,17,3;4
3,18,2;3;4
3,19,2;3;4
3,20,2;3;4
3,21,2;3;4
3,22,2;3;4
3,23,3;4
3,24,3;4
3,25,4
3,26,4
4,1,5
4,2,5
4,3,5
4,4,5
4,5,3;5
4,6,3;5
4,7,1;3
4,8,1;3
4,9,1;3
4,10,1;3
4,11,3
4,12,3
4,13,3;4
4,14,3;4
4,15,3;4
4,16,3;4
4,17,3;4
4,18,2;3;4
4,19,2;3;4
4,20,2;3;4
4,21,2;3;4
4,22,2;3;4
4,23,3;4
4,24,3;4
4,25,4
4,26,4
5,1,5
5,2,5
5,3,5
5,4,5
5,5,3;5
5,6,3;5
5,7,1;3
5,8,1;3
5,9,1;3
5,10,1;3
5,11,3;6
5,12,3;6
5,13,3;4;6
5,14,3;4;6
5,15,3;4;6
5,16,3;4;6
5,17,3;4;6
5,18,2;3;4;6
5,19,2;3;4;6
5,20,2;3;4;6
5,21,2;3;4;6
5,22,2;3;4;6
5,23,3;4;6
5,24,3;4
5,25,4
5,26,4
6,1,5
6,2,5
6,3,5
6,4,5
6,5,3;5
6,6,3;5
6,7,1;3
6,8,1;3
6,9,1;3
6,10,1;3
6,11,3;6
6,12,3;6
6,13,3;4;6
6,14,3;4;6
6,15,3;4;6
6,16,3;4;6;7
6,17,3;4;6;7
6,18,2;3;4;6
6,19,2;3;4;6
6,20,2;3;4;6
6,21,2;3;4;6
6,22,2;3;4;6
6,23,3;4;6
6,24,3;4
6,25,4
6,26,4
7,1,5
7,2,5;8
7,3,5;8
7,4,5;8
7,5,3;5;8
7,6,3;5;8
7,7,1;3;8
7,8,1;3;8
7,9,1;3;8
7,10,1;3;8
7,11,3;6;8
7,12,3;6;8
7,13,3;4;6;8
7,14,3;4;6;8
7,15,3;4;6
7,16,3;4;6;7
7,17,3;4;6;7
7,18,2;3;4;6
7,19,2;3;4;6
7,20,2;3;4;6
7,21,2;3;4;6
7,22,2;3;4;6
7,23,3;4;6
7,24,3;4
7,25,4
7,26,4
8,1,5
8,2,5;8
8,3,5;8
8,4,5;8
8,5,3;5;8
8,6,3;5;8
8,7,1;3;8
8,8,1;3;8
8,9,1;3;8
8,10,1;3;8
8,11,3;6;8
8,12,3;6;8
8,13,3;4;6;8
8,14,3;4;6;8
8,15,3;4;6
8,16,3;4;6;7
8,17,3;4;6;7
8,18,2;3;4;6
8,19,2;3;4;6
8,20,2;3;4;6
8,21,2;3;4;6
8,22,2;3;4;6
8,23,3;4;6
8,24,3;4
8,25,4
8,26,4
9,1,5
9,2,5;8
9,3,5;8
9,4,5;8
9,5,3;5;8
9,6,3;5;8
9,7,1;3;8
9,8,1;3;8
9,9,1;3;8
9,10,1;3;8
9,11,3;8
9,12,3;8
9,13,3;4;8
9,14,3;4;8
9,15,3;4
9,16,3;4;7
9,17,3;4;7
9,18,2;3;4
9,19,2;3;4
9,20,2;3;4
9,21,2;3;4
9,22,2;3;4
9,23,3;4
9,24,3;4
9,25,4
9,26,4
10,1,5
10,2,5
10,3,5
10,4,5
10,5,3;5
10,6,3;5
10,7,1;3
10,8,1;3
10,9,1;3
10,10,1;3
10,11,3
10,12,3
10,13,3;4
10,14,3;4
10,15,3;4
10,16,3;4;7
10,17,3;4;7
10,18,2;3;4
10,19,2;3;4
10,20,2;3;4;9
10,21,2;3;4;9
10,22,2;3;4
10,23,3;4
10,24,3;4
10,25,4
10,26,4
11,0,10
11,1,5;10
11,2,5;10
11,3,5;10
11,4,5;10
11,5,3;5;10
11,6,3;5;10
11,7,1;3;10
11,8,1;3;10
11,9,1;3;10
11,10,1;3;10
11,11,3;10
11,12,3;10
11,13,3;4;10
11,14,3;4;10
11,15,3;4;10
11,16,3;4;7;10
11,17,3;4;7;10
11,18,2;3;4;10
11,19,2;3;4;10
11,20,2;3;4;9
11,21,2;3;4;9
11,22,2;3;4
11,23,3;4
11,24,3;4
11,25,4
11,26,4
12,0,10
12,1,5;10
12,2,5;10
12,3,5;10
12,4,5;10
12,5,3;5;10
12,6,3;5;10
12,7,1;3;10
12,8,1;3;10
12,9,1;3;10
12,10,1;3;10
