u,v,kind,ox,oy,x_rel,y_rel
1,3,proper,5.0,4.0,overlap,contains
1,6,proper,2.0,1.0,overlap,contains
1,7,proper,1.0,3.0,overlap,overlap
2,7,proper,2.0,4.0,contains,overlap
2,9,proper,2.0,5.0,contains,inside
2,13,proper,2.0,3.0,contains,overlap
2,14,proper,1.0,2.0,contains,overlap
3,8,proper,2.0,1.0,overlap,overlap
3,9,proper,1.0,1.0,overlap,overlap
5,7,proper,2.0,1.0,contains,inside
5,9,proper,2.0,1.0,contains,inside
5,12,proper,1.0,1.0,overlap,inside
6,9,proper,2.0,1.0,contains,inside
6,11,proper,4.0,1.0,contains,inside
6,14,proper,1.0,1.0,contains,inside
8,11,proper,4.0,5.0,contains,overlap
8,14,proper,1.0,4.0,contains,overlap
11,13,proper,1.0,3.0,overlap,overlap
12,13,proper,2.0,3.0,contains,inside
12,14,proper,1.0,3.0,contains,inside
