u,v,kind,ox,oy,x_rel,y_rel
1,7,proper,2.0,4.0,contains,inside
1,9,proper,1.0,4.0,contains,inside
1,10,proper,6.0,1.0,contains,overlap
1,13,proper,3.0,3.0,contains,overlap
1,14,proper,1.0,2.0,contains,overlap
2,5,proper,3.0,4.0,contains,inside
2,6,proper,8.0,1.0,overlap,overlap
2,8,proper,4.0,1.0,overlap,overlap
2,9,proper,1.0,2.0,contains,overlap
2,10,proper,1.0,4.0,overlap,inside
3,5,proper,3.0,1.0,contains,inside
3,6,proper,20.0,1.0,contains,inside
3,9,proper,1.0,1.0,contains,inside
3,10,proper,6.0,1.0,contains,inside
3,11,proper,5.0,1.0,contains,inside
3,14,proper,1.0,1.0,contains,inside
4,7,proper,2.0,1.0,contains,inside
4,9,proper,1.0,1.0,contains,inside
4,10,proper,4.0,1.0,overlap,inside
4,12,proper,1.0,1.0,overlap,inside
5,6,proper,2.0,6.0,overlap,contains
5,7,proper,1.0,3.0,overlap,overlap
6,7,proper,2.0,1.0,contains,overlap
6,9,proper,1.0,6.0,contains,inside
6,10,proper,6.0,6.0,contains,inside
6,11,proper,5.0,6.0,contains,inside
6,13,proper,3.0,2.0,contains,overlap
6,14,proper,1.0,6.0,contains,inside
8,10,proper,6.0,3.0,contains,overlap
8,11,proper,5.0,5.0,contains,inside
8,14,proper,1.0,4.0,contains,overlap
10,11,proper,4.0,12.0,overlap,overlap
10,12,proper,3.0,3.0,overlap,contains
10,13,proper,1.0,10.0,overlap,overlap
11,13,proper,2.0,3.0,overlap,overlap
12,13,proper,3.0,3.0,contains,inside
12,14,proper,1.0,3.0,contains,inside
