u,v,kind,ox,oy,x_rel,y_rel
1,6,proper,3.0,3.0,contains,inside
1,9,proper,2.0,3.0,contains,inside
1,11,proper,1.0,1.0,overlap,contains
2,3,proper,9.0,4.0,overlap,inside
2,4,proper,4.0,4.0,contains,inside
2,8,proper,2.0,1.0,overlap,contains
2,9,proper,1.0,1.0,overlap,overlap
3,4,proper,4.0,10.0,contains,overlap
3,5,proper,21.0,1.0,contains,contains
3,6,proper,3.0,1.0,contains,overlap
3,8,proper,15.0,1.0,contains,contains
3,9,proper,2.0,6.0,contains,overlap
3,10,proper,5.0,13.0,contains,inside
3,12,proper,3.0,2.0,contains,overlap
3,13,proper,3.0,11.0,contains,overlap
3,14,proper,1.0,12.0,contains,overlap
4,5,proper,3.0,1.0,overlap,contains
4,6,proper,2.0,3.0,overlap,overlap
5,9,proper,2.0,1.0,contains,inside
5,10,proper,5.0,1.0,contains,inside
5,13,proper,3.0,1.0,contains,inside
5,14,proper,1.0,1.0,contains,inside
6,7,proper,2.0,4.0,overlap,overlap
7,9,proper,2.0,5.0,contains,inside
7,12,proper,3.0,3.0,contains,overlap
7,13,proper,3.0,1.0,contains,overlap
7,14,proper,1.0,2.0,contains,overlap
8,10,proper,5.0,1.0,contains,inside
8,13,proper,3.0,1.0,contains,inside
8,14,proper,1.0,1.0,contains,inside
10,12,proper,2.0,3.0,overlap,overlap
10,13,proper,1.0,12.0,overlap,overlap
11,12,proper,3.0,1.0,contains,inside
11,13,proper,3.0,1.0,contains,inside
11,14,proper,1.0,1.0,contains,inside
12,13,proper,2.0,10.0,overlap,overlap
