gx,gy,rect_ids
0,7,1
0,8,1
0,9,1
0,10,1
1,7,1
1,8,1
1,9,1
1,10,1
1,18,2
1,19,2
1,20,2
1,21,2
1,22,2
2,7,1
2,8,1
2,9,1
2,10,1
2,13,3
2,14,3
2,15,3
2,16,3
2,17,3
2,18,2;3
2,19,2;3
2,20,2;3
2,21,2
2,22,2
3,1,4
3,2,4
3,3,4
3,4,4
3,5,4
3,6,4
3,7,1
3,8,1
3,9,1
3,10,1
3,13,3
3,14,3
3,15,3
3,16,3
3,17,3
3,18,2;3
3,19,2;3
3,20,2;3
3,21,2
3,22,2
4,1,4
4,2,4;5
4,3,4;5
4,4,4;5
4,5,4;5
4,6,4;5
4,7,1;5
4,8,1;5
4,9,1;5
4,10,1;5
4,11,5
4,12,5
4,13,3;5
4,14,3;5
4,15,3
4,16,3
4,17,3
4,18,2;3
4,19,2;3
4,20,2;3
4,21,2
4,22,2
5,1,4
5,2,4;5
5,3,4;5
5,4,4;5
5,5,4;5
5,6,4;5
5,7,1;5
5,8,1;5
5,9,1;5
5,10,1;5
5,11,5
5,12,5
5,13,3;5
5,14,3;5
5,15,3
5,16,3;6
5,17,3;6
5,18,2;3
5,19,2;3
5,20,2;3
5,21,2
5,22,2
6,1,4
6,2,4;5
6,3,4;5
6,4,4;5
6,5,4;5
6,6,4;5
6,7,1;5
6,8,1;5
6,9,1;5
6,10,1;5
6,11,5;7
6,12,5;7
6,13,3;5;7
6,14,3;5;7
6,15,3;7
6,16,3;6;7
6,17,3;6;7
6,18,2;3;7
6,19,2;3;7
6,20,2;3;7
6,21,2;7
6,22,2;7
6,23,7
7,1,4
7,2,4;5
7,3,4;5
7,4,4;5
7,5,4;5
7,6,4;5
7,7,1;5
7,8,1;5
7,9,1;5
7,10,1;5
7,11,5;7
7,12,5;7
7,13,3;5;7
7,14,3;5;7
7,15,3;7
7,16,3;6;7
7,17,3;6;7
7,18,2;3;7
7,19,2;3;7
7,20,2;3;7
7,21,2;7
7,22,2;7
7,23,7
8,1,4
8,2,4
8,3,4
8,4,4
8,5,4
8,6,4
8,7,1
8,8,1
8,9,1
8,10,1
8,11,7
8,12,7
8,13,3;7
8,14,3;7
8,15,3;7
8,16,3;6;7
8,17,3;6;7
8,18,2;3;7
8,19,2;3;7
8,20,2;3;7
8,21,2;7
8,22,2;7
8,23,7
9,1,4
9,2,4
9,3,4
9,4,4
9,5,4
9,6,4
9,7,1
9,8,1
9,9,1
9,10,1
9,13,3
9,14,3
9,15,3
9,16,3;6
9,17,3;6
9,18,2;3
9,19,2;3
9,20,2;3
9,21,2;8
9,22,2;8
9,23,8
9,24,8
9,25,8
9,26,8
10,0,9
10,1,4;9
10,2,4;9
10,3,4;9
10,4,4;9
10,5,4;9
10,6,4;9
10,7,1;9
10,8,1;9
10,9,1;9
10,10,1;9
10,11,9
10,12,9
10,13,3;9
10,14,3;9
10,15,3;9
10,16,3;6;9
10,17,3;6;9
10,18,2;3;9
10,19,2;3;9
10,20,2;3
10,21,2;8
10,22,2;8
10,23,8
10,24,8
10,25,8
10,26,8
11,0,9
11,1,4;9
11,2,4;9
11,3,4;9
11,4,4;9
11,5,4;9
11,6,4;9
11,7,1;9
11,8,1;9
11,9,1;9
11,10,1;9
11,11,9
11,12,9
11,13,3;9
11,14,3;9
11,15,3;9
11,16,3;6;9
11,17,3;6;9
11,18,2;3;9
11,19,2;3;9
11,20,2;3
11,21,2;8
11,22,2;8
11,23,8
11,24,8
11,25,8
11,26,8
12,0,9
12,1,4;9
12,2,4;9
12,3,4;9
12,4,4;9
12,5,4;9
12,6,4;9
12,7,1;9
12,8,1;9
12,9,1;9
12,10,1;9
12,11,9
12,12,9
12,13,3;9
12,14,3;9
12,15,3;9
12,16,3;6;9
12,17,3;6;9
12,18,3;9
12,19,3;9
12,20,3
12,21,8
12,22,8
12,23,8
12,24,8
12,25,8
12,26,8
13,1,4
13,2,4
13,3,4
13,4,4
13,5,4
13,6,4
13,7,1
13,8,1
13,9,1
13,10,1
13,12,10
13,13,3;10
13,14,3;10
13,15,3;10
13,16,3;6;10
13,17,3;6;10
13,18,3;10
13,19,3;10
13,20,3;10
13,21,8;10
13,22,8;10
13,23,8;10
13,24,8;10
13,25,8;10
13,26,8;10
13,27,10
14,1,4
14,2,4
14,3,4
14,4,4
14,5,4
14,6,4
14,7,1
14,8,1;11
14,9,1;11
14,10,1
14,12,10
14,13,3;10
14,14,3;10
14,15,3;10
14,16,3;6;10
14,17,3;6;10
14,18,3;10
14,19,3;10
14,20,3;10
14,21,8;10
14,22,8;10
14,23,8;10
14,24,8;10
14,25,8;10
14,26,8;10
14,27,10
15,1,4
15,2,4
15,3,4
15,4,4
15,5,4
