u,v,kind,ox,oy,x_rel,y_rel
1,4,proper,4.0,4.0,overlap,contains
1,6,proper,2.0,1.0,overlap,contains
1,7,proper,1.0,3.0,overlap,overlap
2,7,proper,2.0,1.0,contains,inside
2,9,proper,2.0,1.0,contains,inside
2,11,proper,1.0,1.0,overlap,inside
4,8,proper,2.0,1.0,overlap,overlap
4,9,proper,1.0,1.0,overlap,overlap
5,7,proper,2.0,4.0,contains,overlap
5,9,proper,2.0,5.0,contains,inside
5,12,proper,3.0,3.0,contains,overlap
5,14,proper,1.0,2.0,contains,overlap
6,9,proper,2.0,1.0,contains,inside
6,10,proper,5.0,1.0,contains,inside
6,14,proper,1.0,1.0,contains,inside
8,10,proper,5.0,5.0,contains,inside
8,14,proper,1.0,4.0,contains,overlap
10,12,proper,2.0,3.0,overlap,overlap
11,12,proper,3.0,3.0,contains,inside
11,14,proper,1.0,3.0,contains,inside
