gx,gy,rect_ids
0,16,1
0,17,1
1,13,2
1,14,2
1,15,2
1,16,1;2
1,17,1;2
1,18,2
1,19,2
1,20,2
2,7,3
2,8,3
2,9,3
2,10,3
2,13,2
2,14,2
2,15,2
2,16,1;2
2,17,1;2
2,18,2
2,19,2
2,20,2
3,7,3
3,8,3
3,9,3
3,10,3
3,13,2
3,14,2
3,15,2
3,16,1;2
3,17,1;2
3,18,2
3,19,2
3,20,2
3,21,4
3,22,4
3,23,4
3,24,4
3,25,4
3,26,4
4,1,5
4,2,5
4,3,5
4,4,5
4,5,5
4,6,5
4,7,3
4,8,3
4,9,3
4,10,3
4,13,2
4,14,2
4,15,2
4,16,1;2
4,17,1;2
4,18,2
4,19,2
4,20,2
4,21,4
4,22,4
4,23,4
4,24,4
4,25,4
4,26,4
5,1,5
5,2,5
5,3,5
5,4,5;6
5,5,5;6
5,6,5;6
5,7,3;6
5,8,3;6
5,9,3;6
5,10,3;6
5,11,6
5,12,6
5,13,2;6
5,14,2;6
5,15,2;6
5,16,1;2;6
5,17,1;2;6
5,18,2;6
5,19,2;6
5,20,2;6
5,21,4;6
5,22,4;6
5,23,4;6
5,24,4;6
5,25,4;6
5,26,4
6,1,5
6,2,5
6,3,5
6,4,5;6
6,5,5;6
6,6,5;6
6,7,3;6
6,8,3;6
6,9,3;6
6,10,3;6
6,11,6
6,12,6
6,13,2;6
6,14,2;6
6,15,2;6
6,16,1;2;6
6,17,1;2;6
6,18,2;6
6,19,2;6
6,20,2;6
6,21,4;6
6,22,4;6
6,23,4;6
6,24,4;6
6,25,4;6
6,26,4
7,1,5
7,2,5
7,3,5
7,4,5
7,5,5;7
7,6,5;7
7,7,3;7
7,8,3;7
7,9,3;7
7,10,3;7
7,11,7
7,12,7
7,13,2;7
7,14,2;7
7,15,2;7
7,16,1;2;7
7,17,1;2;7
7,18,2;7
7,19,2;7
7,20,2;7
7,21,4;7
7,22,4;7
7,23,4;7
7,24,4;7
7,25,4
7,26,4
8,1,5
8,2,5
8,3,5;8
8,4,5;8
8,5,5;7;8
8,6,5;7;8
8,7,3;7;8
8,8,3;7;8
8,9,3;7;8
8,10,3;7;8
8,11,7;8
8,12,7;8
8,13,2;7;8
8,14,2;7;8
8,15,2;7;8
8,16,1;2;7
8,17,1;2;7
8,18,2;7
8,19,2;7
8,20,2;7
8,21,4;7
8,22,4;7
8,23,4;7
8,24,4;7
8,25,4
8,26,4
9,1,5
9,2,5
9,3,5;8
9,4,5;8
