u,v,kind,ox,oy,x_rel,y_rel
1,3,proper,14.0,3.0,overlap,inside
1,8,proper,2.0,3.0,contains,inside
1,10,proper,2.0,3.0,contains,inside
1,12,proper,1.0,1.0,overlap,contains
2,3,proper,10.0,4.0,overlap,inside
2,4,proper,9.0,4.0,overlap,inside
2,6,proper,3.0,4.0,contains,inside
2,9,proper,2.0,1.0,overlap,contains
2,10,proper,1.0,1.0,overlap,overlap
3,4,proper,15.0,11.0,overlap,overlap
3,5,proper,14.0,1.0,overlap,overlap
3,6,proper,3.0,12.0,contains,contains
3,7,proper,12.0,1.0,overlap,contains
3,8,proper,2.0,9.0,contains,overlap
3,9,proper,8.0,1.0,overlap,contains
3,10,proper,2.0,14.0,contains,overlap
3,11,proper,4.0,12.0,overlap,overlap
3,12,proper,3.0,1.0,overlap,contains
3,13,proper,1.0,10.0,overlap,overlap
4,6,proper,3.0,10.0,contains,overlap
4,7,proper,19.0,1.0,contains,contains
4,8,proper,2.0,1.0,contains,overlap
4,9,proper,14.0,1.0,contains,contains
4,10,proper,2.0,6.0,contains,overlap
4,11,proper,5.0,13.0,contains,inside
4,13,proper,3.0,2.0,contains,overlap
4,14,proper,1.0,12.0,contains,overlap
5,8,proper,2.0,4.0,contains,overlap
5,10,proper,2.0,5.0,contains,inside
5,13,proper,3.0,3.0,contains,overlap
5,14,proper,1.0,2.0,contains,overlap
6,7,proper,2.0,1.0,overlap,contains
6,8,proper,1.0,3.0,overlap,overlap
7,10,proper,2.0,1.0,contains,inside
7,11,proper,5.0,1.0,contains,inside
7,14,proper,1.0,1.0,contains,inside
9,11,proper,5.0,1.0,contains,inside
9,14,proper,1.0,1.0,contains,inside
11,13,proper,2.0,3.0,overlap,overlap
12,13,proper,3.0,1.0,contains,inside
12,14,proper,1.0,1.0,contains,inside
